Resp. Origem;Resp. Destino;Rota;Coleta;Entrega;Terminais;Fixo das Unidades;Redespacho Coleta/Redespacho Entrega;Transferencias;Vazios;Custo Matriz;Total
LDB;FOR;CAC_FOR;0,00%;4,55%;19,79%;8,63%;14,41%;16,38%;17,24%;19,00%;100,00%
FLN;FOR;XAP_FOR;0,00%;4,46%;21,90%;8,46%;16,21%;16,73%;13,24%;19,00%;100,00%
POA;FOR;POA_FOR;2,66%;4,40%;25,70%;14,98%;0,00%;18,03%;15,23%;19,00%;100,00%
CXJ;FOR;CXJ_FOR;5,49%;5,35%;19,81%;13,13%;0,00%;21,33%;15,89%;19,00%;100,00%
FOR;FOR;FOR_FOR;36,52%;0,00%;44,48%;0,00%;0,00%;0,00%;0,00%;19,00%;100,00%
FOR;FOR;IMP_FOR;0,00%;10,32%;12,57%;0,00%;58,11%;0,00%;0,00%;19,00%;100,00%
GYN;GYN;GYN_GYN;35,10%;0,00%;39,51%;6,39%;0,00%;0,00%;0,00%;19,00%;100,00%
BSB;GYN;BSB_GYN;13,77%;14,19%;31,46%;13,92%;0,00%;4,97%;2,69%;19,00%;100,00%
BSB;GYN;CGB_GYN;37,00%;3,79%;16,43%;8,54%;0,00%;10,62%;4,61%;19,00%;100,00%
BSB;GYN;CGR_GYN;42,32%;5,02%;15,18%;2,71%;0,00%;10,67%;5,10%;19,00%;100,00%
BSB;GYN;PMW_GYN;0,00%;7,40%;16,41%;1,35%;46,62%;2,59%;6,63%;19,00%;100,00%
SAO;GYN;SAO_GYN;8,19%;11,05%;33,39%;5,96%;0,00%;11,21%;11,21%;19,00%;100,00%
SAO;GYN;SSZ_GYN;0,00%;6,88%;20,79%;1,25%;37,71%;6,98%;7,38%;19,00%;100,00%
JOI;GYN;JOI_GYN;5,52%;8,67%;34,89%;9,69%;0,00%;13,44%;8,80%;19,00%;100,00%
BAU;GYN;BAU_GYN;10,45%;7,10%;32,31%;10,91%;0,00%;10,68%;9,54%;19,00%;100,00%
RAO;GYN;RAO_GYN;10,02%;8,12%;32,17%;10,92%;0,00%;11,54%;8,23%;19,00%;100,00%
ITJ;GYN;ITJ_GYN;0,00%;9,20%;37,02%;4,96%;6,22%;14,26%;9,34%;19,00%;100,00%
CWB;GYN;CWB_GYN;7,15%;7,75%;30,56%;16,01%;0,00%;11,68%;7,86%;19,00%;100,00%
FES;GYN;FES_GYN;5,09%;12,25%;21,76%;7,14%;0,00%;18,23%;16,53%;19,00%;100,00%
FES;GYN;ITN_GYN;0,00%;7,92%;14,06%;1,44%;35,89%;11,78%;9,91%;19,00%;100,00%
FES;GYN;VDC_GYN;0,00%;7,42%;13,17%;1,35%;40,24%;11,03%;7,80%;19,00%;100,00%
FLN;GYN;FLN_GYN;5,24%;7,84%;35,06%;11,09%;0,00%;13,82%;7,95%;19,00%;100,00%
SJP;GYN;SJP_GYN;4,91%;6,22%;43,97%;9,19%;0,00%;10,41%;6,31%;19,00%;100,00%
BNU;GYN;BNU_GYN;5,25%;9,30%;39,21%;8,37%;0,00%;9,43%;9,43%;19,00%;100,00%
FLN;GYN;LAJ_GYN;0,00%;6,26%;28,01%;3,37%;25,96%;11,05%;6,35%;19,00%;100,00%
SSA;GYN;SSA_GYN;8,60%;7,11%;24,69%;17,28%;0,00%;12,23%;11,09%;19,00%;100,00%
SJP;GYN;PPB_GYN;0,00%;5,27%;37,26%;2,84%;18,27%;8,82%;8,54%;19,00%;100,00%
FLN;GYN;CCM_GYN;0,00%;5,68%;25,43%;3,06%;31,04%;10,03%;5,76%;19,00%;100,00%
UDI;GYN;UDI_GYN;5,48%;8,92%;38,84%;9,67%;0,00%;9,04%;9,04%;19,00%;100,00%
MGF;GYN;MGF_GYN;4,66%;8,17%;33,44%;11,84%;0,00%;14,62%;8,28%;19,00%;100,00%
AJU;GYN;AJU_GYN;12,97%;7,82%;19,33%;14,73%;0,00%;15,60%;10,55%;19,00%;100,00%
FLN;GYN;XAP_GYN;0,00%;6,36%;28,48%;3,43%;25,05%;11,23%;6,46%;19,00%;100,00%
POA;GYN;POA_GYN;4,89%;7,46%;33,47%;11,90%;0,00%;15,70%;7,57%;19,00%;100,00%
REC;GYN;PNZ_GYN;0,00%;5,71%;17,84%;3,33%;32,78%;13,63%;7,71%;19,00%;100,00%
CXJ;GYN;CXJ_GYN;9,52%;8,57%;27,13%;9,79%;0,00%;17,29%;8,69%;19,00%;100,00%
MCZ;GYN;MCZ_GYN;7,64%;8,07%;22,65%;14,81%;0,00%;16,95%;10,89%;19,00%;100,00%
REC;GYN;CAU_GYN;0,00%;5,99%;18,71%;3,49%;30,42%;14,30%;8,08%;19,00%;100,00%
REC;GYN;REC_GYN;8,83%;7,31%;22,83%;14,73%;0,00%;17,44%;9,86%;19,00%;100,00%
JPA;GYN;JPA_GYN;6,71%;8,51%;20,77%;12,71%;0,00%;20,81%;11,48%;19,00%;100,00%
