Resp. Origem;Resp. Destino;Rota;Coleta;Entrega;Terminais;Fixo das Unidades;Redespacho Coleta/Redespacho Entrega;Transferencias;Vazios;Custo Matriz;Total
AJU;AJU;AJU_AJU;36,76%;0,00%;15,41%;28,83%;0,00%;0,00%;0,00%;19,00%;100,00%
MCZ;AJU;MCZ_AJU;10,57%;18,52%;19,27%;28,50%;0,00%;4,13%;0,00%;19,00%;100,00%
FES;AJU;FES_AJU;5,50%;21,95%;17,81%;22,52%;0,00%;6,94%;6,29%;19,00%;100,00%
FES;AJU;ITN_AJU;0,00%;13,40%;10,87%;10,51%;36,61%;4,23%;5,38%;19,00%;100,00%
FES;AJU;VDC_AJU;0,00%;12,12%;9,84%;9,51%;39,66%;3,83%;6,04%;19,00%;100,00%
SSA;AJU;SSA_AJU;8,98%;12,33%;22,60%;26,37%;0,00%;5,62%;5,10%;19,00%;100,00%
REC;AJU;CAU_AJU;0,00%;12,09%;14,89%;9,48%;37,01%;3,97%;3,55%;19,00%;100,00%
VIX;AJU;VIX_AJU;4,45%;13,93%;19,81%;17,76%;0,00%;13,14%;11,91%;19,00%;100,00%
BHZ;AJU;BHZ_AJU;5,56%;11,79%;21,28%;18,31%;0,00%;12,77%;11,28%;19,00%;100,00%
BSB;AJU;BSB_AJU;7,12%;12,17%;17,89%;18,35%;0,00%;13,35%;12,11%;19,00%;100,00%
BSB;AJU;PMW_AJU;0,00%;8,41%;12,35%;8,62%;31,91%;9,22%;10,48%;19,00%;100,00%
RIO;AJU;CAW_AJU;0,00%;9,55%;15,40%;9,79%;22,19%;11,38%;12,69%;19,00%;100,00%
BHZ;AJU;DIV_AJU;0,00%;11,32%;20,43%;11,62%;9,90%;12,26%;15,47%;19,00%;100,00%
BHZ;AJU;JDF_AJU;0,00%;9,24%;16,68%;9,48%;22,60%;10,01%;13,00%;19,00%;100,00%
GYN;AJU;GYN_AJU;7,43%;12,32%;18,36%;13,99%;0,00%;15,16%;13,75%;19,00%;100,00%
RIO;AJU;RIO_AJU;9,92%;11,21%;18,08%;16,30%;0,00%;13,36%;12,12%;19,00%;100,00%
BHZ;AJU;PSA_AJU;0,00%;8,93%;16,13%;9,17%;33,19%;9,68%;3,91%;19,00%;100,00%
CPQ;AJU;SJK_AJU;0,00%;8,58%;13,74%;8,80%;21,94%;14,24%;13,70%;19,00%;100,00%
CPQ;AJU;CPQ_AJU;6,45%;9,38%;15,02%;19,31%;0,00%;15,56%;15,28%;19,00%;100,00%
SAO;AJU;SAO_AJU;4,54%;10,17%;19,87%;12,62%;0,00%;17,05%;16,75%;19,00%;100,00%
SAO;AJU;SSZ_AJU;0,00%;7,63%;14,91%;7,83%;25,19%;12,79%;12,65%;19,00%;100,00%
CPQ;AJU;SOD_AJU;0,00%;9,03%;14,46%;9,27%;17,94%;14,98%;15,32%;19,00%;100,00%
BAU;AJU;BAU_AJU;6,89%;7,77%;22,35%;14,32%;0,00%;15,33%;14,34%;19,00%;100,00%
RAO;AJU;RAO_AJU;6,30%;8,47%;21,36%;14,63%;0,00%;16,28%;13,95%;19,00%;100,00%
CWB;AJU;CWB_AJU;4,57%;8,22%;20,65%;17,78%;0,00%;16,23%;13,54%;19,00%;100,00%
JOI;AJU;JOI_AJU;3,38%;8,82%;22,58%;14,03%;0,00%;17,65%;14,54%;19,00%;100,00%
BSB;AJU;CGB_AJU;32,43%;5,52%;8,83%;11,35%;0,00%;13,88%;8,99%;19,00%;100,00%
BSB;AJU;CGR_AJU;31,01%;6,11%;11,93%;7,58%;0,00%;14,32%;10,06%;19,00%;100,00%
SJP;AJU;SJP_AJU;3,38%;7,10%;31,23%;12,84%;0,00%;14,74%;11,71%;19,00%;100,00%
ITJ;AJU;ITJ_AJU;0,00%;9,15%;23,40%;11,35%;3,73%;18,29%;15,07%;19,00%;100,00%
BNU;AJU;BNU_AJU;3,13%;9,21%;24,62%;13,43%;0,00%;15,44%;15,17%;19,00%;100,00%
LDB;AJU;LDB_AJU;4,30%;8,55%;21,08%;12,87%;0,00%;17,37%;16,83%;19,00%;100,00%
FLN;AJU;FLN_AJU;3,34%;8,28%;23,44%;14,66%;0,00%;17,63%;13,65%;19,00%;100,00%
SJP;AJU;PPB_AJU;0,00%;6,32%;27,79%;7,84%;13,22%;13,11%;12,72%;19,00%;100,00%
UDI;AJU;UDI_AJU;3,33%;8,98%;24,76%;14,09%;0,00%;15,05%;14,79%;19,00%;100,00%
MGF;AJU;MGF_AJU;2,92%;8,50%;22,12%;15,22%;0,00%;18,23%;14,01%;19,00%;100,00%
BEL;AJU;BEL_AJU;5,16%;8,83%;18,61%;22,64%;0,00%;16,30%;9,45%;19,00%;100,00%
FLN;AJU;LAJ_AJU;0,00%;7,14%;20,20%;8,86%;17,84%;15,20%;11,76%;19,00%;100,00%
FLN;AJU;CCM_AJU;0,00%;6,67%;18,88%;8,28%;21,97%;14,21%;10,99%;19,00%;100,00%
LDB;AJU;CAC_AJU;0,00%;7,37%;18,17%;9,15%;15,24%;14,97%;16,10%;19,00%;100,00%
FLN;AJU;XAP_AJU;0,00%;7,22%;20,43%;8,96%;17,13%;15,37%;11,89%;19,00%;100,00%
CXJ;AJU;CXJ_AJU;5,87%;8,76%;17,88%;14,06%;0,00%;19,99%;14,44%;19,00%;100,00%
POA;AJU;POA_AJU;3,17%;8,02%;22,77%;15,07%;0,00%;18,74%;13,22%;19,00%;100,00%
REC;AJU;PNZ_AJU;0,00%;13,46%;16,57%;0,00%;46,56%;4,42%;0,00%;19,00%;100,00%
REC;AJU;REC_AJU;17,94%;24,64%;30,33%;0,00%;0,00%;8,09%;0,00%;19,00%;100,00%
JPA;AJU;JPA_AJU;9,96%;20,95%;25,38%;0,00%;0,00%;18,70%;6,00%;19,00%;100,00%
NAT;AJU;NAT_AJU;11,37%;18,47%;27,92%;0,00%;0,00%;17,95%;5,29%;19,00%;100,00%
FOR;AJU;THE_AJU;0,00%;10,81%;17,37%;0,00%;39,12%;10,61%;3,10%;19,00%;100,00%
FOR;AJU;FOR_AJU;11,68%;17,89%;28,74%;0,00%;0,00%;17,56%;5,13%;19,00%;100,00%
FOR;AJU;IMP_AJU;0,00%;10,73%;17,24%;0,00%;39,43%;10,53%;3,07%;19,00%;100,00%
FOR;AJU;SLZ_AJU;0,00%;11,06%;17,77%;0,00%;38,15%;10,85%;3,17%;19,00%;100,00%
BAU;BAU;BAU_BAU;29,81%;0,00%;30,98%;20,21%;0,00%;0,00%;0,00%;19,00%;100,00%
CPQ;BAU;CPQ_BAU;10,41%;13,43%;25,91%;24,74%;0,00%;3,26%;3,26%;19,00%;100,00%
CPQ;BAU;SJK_BAU;0,00%;11,44%;22,06%;7,76%;32,96%;2,77%;4,02%;19,00%;100,00%
CPQ;BAU;SOD_BAU;0,00%;12,81%;24,70%;8,68%;28,66%;3,10%;3,05%;19,00%;100,00%
SAO;BAU;SAO_BAU;5,41%;10,75%;34,60%;22,42%;0,00%;3,97%;3,85%;19,00%;100,00%
BHZ;BAU;PSA_BAU;0,00%;6,44%;19,62%;11,85%;26,95%;4,11%;12,03%;19,00%;100,00%
SAO;BAU;SSZ_BAU;0,00%;7,67%;24,67%;14,12%;28,55%;2,83%;3,15%;19,00%;100,00%
RAO;BAU;RAO_BAU;9,03%;10,76%;27,65%;25,73%;0,00%;5,22%;2,61%;19,00%;100,00%
SJP;BAU;SJP_BAU;4,54%;8,46%;39,62%;20,99%;0,00%;5,34%;2,05%;19,00%;100,00%
CWB;BAU;CWB_BAU;6,43%;10,26%;26,24%;29,55%;0,00%;6,03%;2,49%;19,00%;100,00%
JOI;BAU;JOI_BAU;4,89%;11,32%;29,53%;25,28%;0,00%;7,24%;2,74%;19,00%;100,00%
LDB;BAU;LDB_BAU;6,17%;10,88%;27,26%;23,28%;0,00%;6,91%;6,51%;19,00%;100,00%
SJP;BAU;PPB_BAU;0,00%;7,25%;33,95%;13,36%;17,09%;4,57%;4,78%;19,00%;100,00%
UDI;BAU;UDI_BAU;4,62%;11,06%;31,37%;24,48%;0,00%;6,78%;2,68%;19,00%;100,00%
ITJ;BAU;ITJ_BAU;0,00%;11,93%;31,12%;21,96%;5,47%;7,63%;2,89%;19,00%;100,00%
MGF;BAU;MGF_BAU;4,21%;10,87%;28,90%;26,75%;0,00%;7,63%;2,64%;19,00%;100,00%
FLN;BAU;FLN_BAU;4,05%;8,92%;32,07%;25,24%;0,00%;7,20%;3,52%;19,00%;100,00%
FLN;BAU;LAJ_BAU;0,00%;7,39%;26,57%;16,51%;20,81%;5,97%;3,75%;19,00%;100,00%
FLN;BAU;CCM_BAU;0,00%;6,82%;24,53%;15,24%;25,30%;5,51%;3,61%;19,00%;100,00%
LDB;BAU;CAC_BAU;0,00%;8,80%;22,06%;16,22%;20,52%;5,59%;7,80%;19,00%;100,00%
FLN;BAU;XAP_BAU;0,00%;7,39%;26,58%;16,51%;19,76%;5,97%;4,80%;19,00%;100,00%
CXJ;BAU;CXJ_BAU;6,81%;9,03%;29,92%;22,52%;0,00%;9,49%;3,23%;19,00%;100,00%
BHZ;BAU;DIV_BAU;0,00%;13,69%;41,75%;0,00%;13,49%;8,74%;3,32%;19,00%;100,00%
RIO;BAU;RIO_BAU;13,96%;14,00%;39,64%;0,00%;0,00%;10,00%;3,39%;19,00%;100,00%
BHZ;BAU;JDF_BAU;0,00%;10,54%;32,13%;0,00%;29,04%;6,73%;2,56%;19,00%;100,00%
BHZ;BAU;BHZ_BAU;7,88%;14,83%;45,22%;0,00%;0,00%;9,47%;3,60%;19,00%;100,00%
BNU;BAU;BNU_BAU;4,37%;11,39%;31,22%;23,78%;0,00%;7,48%;2,76%;19,00%;100,00%
RIO;BAU;CAW_BAU;0,00%;10,93%;30,96%;0,00%;28,64%;7,81%;2,65%;19,00%;100,00%
VIX;BAU;VIX_BAU;4,05%;11,25%;29,43%;23,86%;0,00%;9,69%;2,73%;19,00%;100,00%
BSB;BAU;BSB_BAU;9,84%;14,92%;39,86%;0,00%;0,00%;12,76%;3,62%;19,00%;100,00%
BSB;BAU;CGR_BAU;40,59%;7,09%;22,82%;0,00%;0,00%;7,96%;2,54%;19,00%;100,00%
POA;BAU;POA_BAU;5,38%;12,09%;43,58%;0,00%;0,00%;12,60%;7,35%;19,00%;100,00%
GYN;BAU;GYN_BAU;7,68%;11,30%;44,99%;0,00%;0,00%;13,00%;4,04%;19,00%;100,00%
FES;BAU;VDC_BAU;0,00%;9,34%;22,16%;0,00%;34,45%;12,78%;2,27%;19,00%;100,00%
FES;BAU;ITN_BAU;0,00%;10,05%;23,83%;0,00%;30,95%;13,74%;2,44%;19,00%;100,00%
BSB;BAU;CGB_BAU;48,76%;7,36%;14,20%;0,00%;0,00%;8,90%;1,78%;19,00%;100,00%
BSB;BAU;PMW_BAU;0,00%;8,95%;23,91%;0,00%;38,31%;7,65%;2,17%;19,00%;100,00%
FES;BAU;FES_BAU;4,34%;15,39%;36,49%;0,00%;0,00%;21,05%;3,73%;19,00%;100,00%
SSA;BAU;SSA_BAU;8,19%;9,97%;43,54%;0,00%;0,00%;15,74%;3,56%;19,00%;100,00%
AJU;BAU;AJU_BAU;13,18%;11,70%;33,26%;0,00%;0,00%;20,02%;2,84%;19,00%;100,00%
REC;BAU;PNZ_BAU;0,00%;7,04%;29,08%;0,00%;27,44%;14,93%;2,52%;19,00%;100,00%
MCZ;BAU;MCZ_BAU;7,73%;12,02%;36,91%;0,00%;0,00%;21,43%;2,91%;19,00%;100,00%
FOR;BAU;IMP_BAU;0,00%;7,83%;22,13%;0,00%;32,45%;16,69%;1,90%;19,00%;100,00%
FOR;BAU;THE_BAU;0,00%;7,88%;22,27%;0,00%;32,15%;16,79%;1,91%;19,00%;100,00%
REC;BAU;CAU_BAU;0,00%;7,32%;30,26%;0,00%;25,26%;15,54%;2,62%;19,00%;100,00%
JPA;BAU;JPA_BAU;6,56%;12,24%;34,54%;0,00%;0,00%;24,69%;2,97%;19,00%;100,00%
REC;BAU;REC_BAU;7,88%;9,61%;39,69%;0,00%;0,00%;20,39%;3,44%;19,00%;100,00%
FOR;BAU;SLZ_BAU;0,00%;8,03%;22,69%;0,00%;31,23%;17,10%;1,95%;19,00%;100,00%
NAT;BAU;NAT_BAU;7,80%;11,25%;35,54%;0,00%;0,00%;23,69%;2,73%;19,00%;100,00%
FOR;BAU;FOR_BAU;8,60%;11,68%;33,01%;0,00%;0,00%;24,88%;2,83%;19,00%;100,00%
BEL;BAU;BEL_BAU;10,99%;16,71%;41,67%;0,00%;0,00%;7,58%;4,05%;19,00%;100,00%
FOR;BEL;FOR_BEL;9,35%;8,36%;18,57%;22,03%;0,00%;11,35%;11,35%;19,00%;100,00%
FOR;BEL;IMP_BEL;0,00%;6,31%;14,01%;8,17%;39,72%;8,56%;4,22%;19,00%;100,00%
FOR;BEL;SLZ_BEL;0,00%;6,50%;14,42%;8,41%;38,38%;8,81%;4,48%;19,00%;100,00%
FOR;BEL;THE_BEL;0,00%;6,22%;13,81%;8,05%;38,53%;8,44%;5,95%;19,00%;100,00%
GYN;BEL;GYN_BEL;8,74%;8,47%;17,11%;12,56%;0,00%;17,06%;17,06%;19,00%;100,00%
BSB;BEL;BSB_BEL;6,74%;6,72%;21,17%;15,52%;0,00%;15,98%;14,86%;19,00%;100,00%
FES;BEL;FES_BEL;2,86%;6,66%;19,26%;20,30%;0,00%;16,30%;15,62%;19,00%;100,00%
SSA;BEL;SSA_BEL;5,91%;4,74%;22,00%;23,48%;0,00%;12,73%;12,14%;19,00%;100,00%
AJU;BEL;AJU_BEL;8,65%;5,05%;18,24%;22,19%;0,00%;15,01%;11,85%;19,00%;100,00%
FES;BEL;ITN_BEL;0,00%;4,92%;14,22%;12,96%;23,02%;12,03%;13,85%;19,00%;100,00%
FES;BEL;VDC_BEL;0,00%;4,65%;13,44%;12,24%;26,03%;11,37%;13,28%;19,00%;100,00%
BSB;BEL;CGR_BEL;33,63%;3,87%;10,89%;6,43%;0,00%;15,31%;10,88%;19,00%;100,00%
BSB;BEL;PMW_BEL;0,00%;4,64%;14,61%;6,88%;30,18%;11,03%;13,64%;19,00%;100,00%
BSB;BEL;CGB_BEL;30,95%;3,07%;12,81%;10,55%;0,00%;14,32%;9,29%;19,00%;100,00%
REC;BEL;PNZ_BEL;0,00%;4,05%;17,36%;12,36%;24,03%;13,68%;9,51%;19,00%;100,00%
SAO;BEL;SAO_BEL;5,22%;6,82%;19,21%;11,35%;0,00%;19,20%;19,20%;19,00%;100,00%
MCZ;BEL;MCZ_BEL;5,04%;5,16%;20,41%;22,40%;0,00%;15,89%;12,10%;19,00%;100,00%
SAO;BEL;SSZ_BEL;0,00%;4,93%;13,87%;6,38%;27,87%;13,86%;14,10%;19,00%;100,00%
REC;BEL;CAU_BEL;0,00%;4,20%;17,98%;12,80%;22,00%;14,17%;9,85%;19,00%;100,00%
REC;BEL;REC_BEL;6,02%;4,83%;20,67%;21,86%;0,00%;16,29%;11,32%;19,00%;100,00%
JOI;BEL;JOI_BEL;3,81%;5,81%;22,36%;13,13%;0,00%;19,55%;16,34%;19,00%;100,00%
JPA;BEL;JPA_BEL;4,35%;5,34%;19,11%;21,31%;0,00%;18,35%;12,53%;19,00%;100,00%
BAU;BEL;BAU_BEL;7,65%;5,04%;22,14%;13,57%;0,00%;16,72%;15,88%;19,00%;100,00%
RAO;BEL;RAO_BEL;7,07%;5,55%;21,01%;13,85%;0,00%;17,93%;15,60%;19,00%;100,00%
ITJ;BEL;ITJ_BEL;0,00%;6,05%;23,29%;10,06%;4,22%;20,36%;17,02%;19,00%;100,00%
NAT;BEL;NAT_BEL;5,35%;5,07%;20,76%;19,81%;0,00%;18,11%;11,90%;19,00%;100,00%
FLN;BEL;FLN_BEL;3,73%;5,41%;23,34%;13,90%;0,00%;19,40%;15,22%;19,00%;100,00%
SJP;BEL;SJP_BEL;3,72%;4,56%;31,93%;12,01%;0,00%;15,94%;12,84%;19,00%;100,00%
BNU;BEL;BNU_BEL;3,55%;6,09%;24,67%;12,41%;0,00%;17,14%;17,14%;19,00%;100,00%
VIX;BEL;VIX_BEL;3,14%;5,74%;22,15%;11,99%;0,00%;21,85%;16,14%;19,00%;100,00%
FLN;BEL;LAJ_BEL;0,00%;4,59%;19,80%;7,63%;19,63%;16,45%;12,90%;19,00%;100,00%
SJP;BEL;PPB_BEL;0,00%;4,01%;28,09%;6,68%;14,38%;14,03%;13,81%;19,00%;100,00%
FLN;BEL;CCM_BEL;0,00%;4,26%;18,38%;7,09%;24,01%;15,28%;11,98%;19,00%;100,00%
UDI;BEL;UDI_BEL;3,76%;5,92%;24,83%;13,18%;0,00%;16,66%;16,66%;19,00%;100,00%
BHZ;BEL;BHZ_BEL;4,25%;5,27%;23,79%;13,52%;0,00%;19,34%;14,82%;19,00%;100,00%
RIO;BEL;CAW_BEL;0,00%;4,74%;19,84%;7,88%;18,86%;16,34%;13,33%;19,00%;100,00%
FLN;BEL;XAP_BEL;0,00%;4,64%;20,04%;7,73%;18,87%;16,66%;13,06%;19,00%;100,00%
BHZ;BEL;DIV_BEL;0,00%;5,34%;24,13%;8,89%;8,00%;19,62%;15,03%;19,00%;100,00%
BHZ;BEL;JDF_BEL;0,00%;4,54%;20,49%;7,55%;19,00%;16,66%;12,76%;19,00%;100,00%
POA;BEL;POA_BEL;3,53%;5,22%;22,60%;14,38%;0,00%;20,57%;14,69%;19,00%;100,00%
CXJ;BEL;CXJ_BEL;6,61%;5,76%;17,07%;13,17%;0,00%;22,18%;16,21%;19,00%;100,00%
RIO;BEL;RIO_BEL;7,99%;5,27%;22,08%;12,64%;0,00%;18,18%;14,83%;19,00%;100,00%
BHZ;BEL;PSA_BEL;0,00%;4,01%;18,11%;6,67%;25,50%;14,72%;11,99%;19,00%;100,00%
CPQ;BEL;SJK_BEL;0,00%;4,63%;19,32%;7,71%;20,30%;14,77%;14,27%;19,00%;100,00%
CPQ;BEL;CPQ_BEL;5,97%;5,07%;21,12%;17,39%;0,00%;16,15%;15,31%;19,00%;100,00%
CPQ;BEL;SOD_BEL;0,00%;4,98%;20,74%;8,28%;16,92%;15,86%;14,23%;19,00%;100,00%
CWB;BEL;CWB_BEL;5,11%;5,36%;20,22%;17,39%;0,00%;17,82%;15,09%;19,00%;100,00%
LDB;BEL;LDB_BEL;4,83%;5,60%;20,69%;11,86%;0,00%;19,17%;18,85%;19,00%;100,00%
MGF;BEL;MGF_BEL;3,28%;5,57%;21,85%;14,50%;0,00%;20,13%;15,67%;19,00%;100,00%
LDB;BEL;CAC_BEL;0,00%;4,75%;17,54%;7,90%;16,83%;16,25%;17,74%;19,00%;100,00%
BEL;BEL;BEL_BEL;43,58%;0,00%;37,42%;0,00%;0,00%;0,00%;0,00%;19,00%;100,00%
BHZ;BHZ;BHZ_BHZ;19,17%;0,00%;40,39%;21,43%;0,00%;0,00%;0,00%;19,00%;100,00%
BHZ;BHZ;DIV_BHZ;0,00%;16,20%;34,11%;0,00%;30,02%;0,00%;0,67%;19,00%;100,00%
RIO;BHZ;RIO_BHZ;16,00%;8,52%;32,43%;17,27%;0,00%;6,78%;0,00%;19,00%;100,00%
RIO;BHZ;CAW_BHZ;0,00%;6,95%;26,46%;7,77%;34,28%;5,53%;0,00%;19,00%;100,00%
BHZ;BHZ;JDF_BHZ;0,00%;9,27%;19,52%;0,00%;48,05%;0,00%;4,16%;19,00%;100,00%
CPQ;BHZ;CPQ_BHZ;10,58%;7,26%;27,44%;24,00%;0,00%;5,86%;5,86%;19,00%;100,00%
CPQ;BHZ;SJK_BHZ;0,00%;6,30%;23,82%;7,04%;34,17%;5,09%;4,59%;19,00%;100,00%
CPQ;BHZ;SOD_BHZ;0,00%;6,83%;25,83%;7,64%;28,77%;5,52%;6,42%;19,00%;100,00%
UDI;BHZ;UDI_BHZ;7,19%;9,15%;34,90%;16,62%;0,00%;6,89%;6,24%;19,00%;100,00%
SAO;BHZ;SAO_BHZ;7,87%;8,31%;37,63%;13,08%;0,00%;7,06%;7,06%;19,00%;100,00%
SAO;BHZ;SSZ_BHZ;0,00%;5,26%;23,85%;5,88%;36,87%;4,47%;4,65%;19,00%;100,00%
RAO;BHZ;RAO_BHZ;9,73%;6,17%;35,35%;16,06%;0,00%;8,45%;5,24%;19,00%;100,00%
BAU;BHZ;BAU_BHZ;10,18%;5,41%;35,10%;15,43%;0,00%;7,99%;6,88%;19,00%;100,00%
SJP;BHZ;SJP_BHZ;4,80%;4,76%;46,16%;13,19%;0,00%;8,05%;4,04%;19,00%;100,00%
CWB;BHZ;CWB_BHZ;6,52%;5,52%;27,41%;29,05%;0,00%;8,05%;4,46%;19,00%;100,00%
SJP;BHZ;PPB_BHZ;0,00%;4,04%;39,25%;6,36%;17,93%;6,84%;6,57%;19,00%;100,00%
ITJ;BHZ;ITJ_BHZ;0,00%;6,43%;32,55%;21,27%;5,55%;10,00%;5,19%;19,00%;100,00%
BNU;BHZ;BNU_BHZ;4,43%;6,14%;32,59%;23,14%;0,00%;9,75%;4,96%;19,00%;100,00%
LDB;BHZ;LDB_BHZ;6,67%;6,25%;35,12%;13,35%;0,00%;10,02%;9,58%;19,00%;100,00%
MGF;BHZ;MGF_BHZ;4,27%;5,86%;30,17%;26,19%;0,00%;9,79%;4,73%;19,00%;100,00%
FLN;BHZ;FLN_BHZ;5,09%;5,96%;38,06%;16,06%;0,00%;10,77%;5,06%;19,00%;100,00%
FLN;BHZ;LAJ_BHZ;0,00%;4,79%;30,58%;7,54%;25,37%;8,66%;4,07%;19,00%;100,00%
FLN;BHZ;CCM_BHZ;0,00%;4,35%;27,81%;6,85%;30,40%;7,87%;3,70%;19,00%;100,00%
LDB;BHZ;CAC_BHZ;0,00%;5,01%;28,13%;7,89%;21,98%;8,03%;9,97%;19,00%;100,00%
FLN;BHZ;XAP_BHZ;0,00%;4,86%;31,07%;7,66%;24,47%;8,80%;4,13%;19,00%;100,00%
CXJ;BHZ;CXJ_BHZ;9,23%;6,50%;30,64%;15,24%;0,00%;13,86%;5,52%;19,00%;100,00%
POA;BHZ;POA_BHZ;4,76%;5,68%;36,37%;16,62%;0,00%;12,75%;4,83%;19,00%;100,00%
BHZ;BHZ;PSA_BHZ;0,00%;6,07%;12,79%;0,00%;47,82%;0,00%;14,32%;19,00%;100,00%
GYN;BHZ;GYN_BHZ;15,01%;11,74%;41,63%;0,00%;0,00%;12,62%;0,00%;19,00%;100,00%
VIX;BHZ;VIX_BHZ;6,61%;9,76%;49,79%;0,00%;0,00%;14,84%;0,00%;19,00%;100,00%
BSB;BHZ;BSB_BHZ;11,23%;9,05%;44,74%;0,00%;0,00%;13,79%;2,19%;19,00%;100,00%
JOI;BHZ;JOI_BHZ;7,13%;8,77%;44,38%;0,00%;0,00%;13,64%;7,08%;19,00%;100,00%
FES;BHZ;FES_BHZ;7,37%;13,88%;40,78%;0,00%;0,00%;18,97%;0,00%;19,00%;100,00%
FES;BHZ;ITN_BHZ;0,00%;7,30%;21,44%;0,00%;42,29%;9,97%;0,00%;19,00%;100,00%
FES;BHZ;VDC_BHZ;0,00%;6,62%;19,44%;0,00%;45,90%;9,04%;0,00%;19,00%;100,00%
SSA;BHZ;SSA_BHZ;13,06%;8,45%;43,15%;0,00%;0,00%;14,06%;2,28%;19,00%;100,00%
AJU;BHZ;AJU_BHZ;19,16%;9,04%;34,59%;0,00%;0,00%;18,21%;0,00%;19,00%;100,00%
REC;BHZ;PNZ_BHZ;0,00%;5,22%;24,33%;0,00%;38,31%;13,13%;0,00%;19,00%;100,00%
BSB;BHZ;CGR_BHZ;44,93%;4,17%;18,90%;0,00%;0,00%;9,46%;3,54%;19,00%;100,00%
BSB;BHZ;PMW_BHZ;0,00%;4,86%;24,02%;0,00%;39,15%;7,40%;5,57%;19,00%;100,00%
BSB;BHZ;CGB_BHZ;48,83%;3,92%;14,81%;0,00%;0,00%;10,29%;3,16%;19,00%;100,00%
MCZ;BHZ;MCZ_BHZ;11,38%;9,40%;40,01%;0,00%;0,00%;20,21%;0,00%;19,00%;100,00%
REC;BHZ;CAU_BHZ;0,00%;5,52%;25,74%;0,00%;35,84%;13,89%;0,00%;19,00%;100,00%
REC;BHZ;REC_BHZ;12,87%;8,33%;38,83%;0,00%;0,00%;20,96%;0,00%;19,00%;100,00%
JPA;BHZ;JPA_BHZ;9,74%;9,66%;36,58%;0,00%;0,00%;25,02%;0,00%;19,00%;100,00%
NAT;BHZ;NAT_BHZ;11,14%;8,54%;37,77%;0,00%;0,00%;23,54%;0,00%;19,00%;100,00%
FOR;BHZ;THE_BHZ;0,00%;5,04%;23,30%;0,00%;38,67%;14,00%;0,00%;19,00%;100,00%
FOR;BHZ;FOR_BHZ;11,46%;8,28%;38,27%;0,00%;0,00%;22,99%;0,00%;19,00%;100,00%
FOR;BHZ;IMP_BHZ;0,00%;5,00%;23,13%;0,00%;38,98%;13,89%;0,00%;19,00%;100,00%
FOR;BHZ;SLZ_BHZ;0,00%;5,15%;23,83%;0,00%;37,70%;14,31%;0,00%;19,00%;100,00%
BEL;BHZ;BEL_BHZ;11,03%;8,91%;43,14%;0,00%;0,00%;10,73%;7,19%;19,00%;100,00%
BNU;BNU;BNU_BNU;21,56%;0,00%;45,63%;13,81%;0,00%;0,00%;0,00%;19,00%;100,00%
ITJ;BNU;ITJ_BNU;0,00%;11,27%;43,84%;7,22%;13,49%;3,78%;1,40%;19,00%;100,00%
JOI;BNU;JOI_BNU;11,31%;10,04%;39,06%;16,71%;0,00%;3,37%;0,50%;19,00%;100,00%
CWB;BNU;CWB_BNU;9,61%;5,88%;32,49%;25,69%;0,00%;4,63%;2,71%;19,00%;100,00%
FLN;BNU;FLN_BNU;7,33%;6,19%;40,01%;19,91%;0,00%;4,79%;2,77%;19,00%;100,00%
FLN;BNU;LAJ_BNU;0,00%;4,50%;29,11%;7,49%;33,07%;3,48%;3,34%;19,00%;100,00%
FLN;BNU;CCM_BNU;0,00%;3,98%;25,70%;6,62%;38,47%;3,08%;3,17%;19,00%;100,00%
SAO;BNU;SSZ_BNU;0,00%;4,25%;23,27%;2,72%;41,25%;5,05%;4,46%;19,00%;100,00%
SAO;BNU;SAO_BNU;9,53%;7,26%;39,76%;9,24%;0,00%;8,64%;6,56%;19,00%;100,00%
FLN;BNU;XAP_BNU;0,00%;4,50%;29,11%;7,49%;31,40%;3,48%;5,01%;19,00%;100,00%
LDB;BNU;LDB_BNU;6,85%;4,63%;32,57%;23,84%;0,00%;7,49%;5,62%;19,00%;100,00%
CPQ;BNU;CPQ_BNU;8,99%;4,45%;34,66%;19,15%;0,00%;8,14%;5,60%;19,00%;100,00%
CPQ;BNU;SJK_BNU;0,00%;3,90%;30,39%;4,96%;29,30%;7,14%;5,31%;19,00%;100,00%
CPQ;BNU;SOD_BNU;0,00%;4,33%;33,73%;5,51%;25,25%;7,93%;4,25%;19,00%;100,00%
POA;BNU;POA_BNU;6,45%;5,56%;36,06%;19,66%;0,00%;7,70%;5,57%;19,00%;100,00%
MGF;BNU;MGF_BNU;3,85%;3,81%;34,05%;25,78%;0,00%;7,59%;5,92%;19,00%;100,00%
LDB;BNU;CAC_BNU;0,00%;3,75%;26,35%;16,38%;22,77%;6,06%;5,69%;19,00%;100,00%
BHZ;BNU;PSA_BNU;0,00%;3,18%;26,71%;4,05%;34,74%;8,47%;3,85%;19,00%;100,00%
CXJ;BNU;CXJ_BNU;9,05%;4,60%;31,00%;21,18%;0,00%;8,57%;6,61%;19,00%;100,00%
RAO;BNU;RAO_BNU;11,18%;5,11%;36,51%;13,81%;0,00%;9,77%;4,62%;19,00%;100,00%
BAU;BNU;BAU_BNU;11,49%;4,41%;36,07%;13,40%;0,00%;9,07%;6,55%;19,00%;100,00%
