ROTA;ORIGEM;DESTINO;UF_ORIGEM;UF_DESTINO;10-Frete Peso;20-Frete Peso;30-Frete Peso;50-Frete Peso;75-Frete Peso;100-Frete Peso;999,999,999.9999-Frete Peso;999,999,999.9999-Frete Valor
AJUGUDI;AJU;GUDI;SE;MG; R$ 231,99 ; R$ 272,57 ; R$ 321,42 ; R$ 410,54 ; R$ 566,83 ; R$ 839,67 ; R$ 8,40 ;0,83%
AJUGUDI2;AJU;GUDI2;SE;MG; R$ 257,62 ; R$ 302,68 ; R$ 356,93 ; R$ 455,89 ; R$ 629,45 ; R$ 932,43 ; R$ 9,33 ;0,83%
AJUGYN;AJU;GYN;SE;GO; R$ 224,90 ; R$ 264,24 ; R$ 311,60 ; R$ 397,99 ; R$ 549,51 ; R$ 814,00 ; R$ 8,14 ;1,14%
AJUITJ;AJU;ITJ;SE;SC; R$ 188,66 ; R$ 221,67 ; R$ 261,39 ; R$ 333,87 ; R$ 460,98 ; R$ 682,86 ; R$ 6,83 ;0,83%
AJUJOI;AJU;JOI;SE;SC; R$ 190,96 ; R$ 224,37 ; R$ 264,59 ; R$ 337,95 ; R$ 466,60 ; R$ 691,20 ; R$ 6,91 ;0,83%
AJUJPA;AJU;JPA;SE;PB; R$ 133,50 ; R$ 156,85 ; R$ 184,96 ; R$ 236,24 ; R$ 326,17 ; R$ 483,17 ; R$ 4,83 ;0,72%
AJULDB;AJU;LDB;SE;PR; R$ 234,27 ; R$ 275,26 ; R$ 324,58 ; R$ 414,58 ; R$ 572,41 ; R$ 847,94 ; R$ 8,48 ;0,91%
AJUMAI;AJU;MAI;SE;MA; R$ 193,75 ; R$ 227,64 ; R$ 268,44 ; R$ 342,87 ; R$ 473,40 ; R$ 701,26 ; R$ 7,01 ;0,83%
AJUMAI2;AJU;MAI2;SE;MA; R$ 238,45 ; R$ 280,18 ; R$ 330,39 ; R$ 421,99 ; R$ 582,65 ; R$ 863,10 ; R$ 8,63 ;0,83%
AJUMCP;AJU;MCP;SE;AP; R$ 256,61 ; R$ 301,51 ; R$ 355,55 ; R$ 454,12 ; R$ 627,00 ; R$ 928,81 ; R$ 9,29 ;0,78%
AJUMCZ;AJU;MCZ;SE;AL; R$ 119,65 ; R$ 140,59 ; R$ 165,78 ; R$ 211,75 ; R$ 292,37 ; R$ 433,09 ; R$ 4,33 ;0,57%
AJUMGF;AJU;MGF;SE;PR; R$ 211,78 ; R$ 248,83 ; R$ 293,41 ; R$ 374,77 ; R$ 517,45 ; R$ 766,52 ; R$ 7,67 ;0,91%
AJUMGI;AJU;MGI;SE;MG; R$ 195,96 ; R$ 230,23 ; R$ 271,49 ; R$ 346,78 ; R$ 478,79 ; R$ 709,25 ; R$ 7,09 ;0,83%
AJUMGI2;AJU;MGI2;SE;MG; R$ 233,87 ; R$ 274,78 ; R$ 324,03 ; R$ 413,87 ; R$ 571,43 ; R$ 846,49 ; R$ 8,47 ;0,83%
AJUMSI;AJU;MSI;SE;MS; R$ 454,95 ; R$ 534,55 ; R$ 630,34 ; R$ 805,12 ; R$ 1.111,63 ; R$ 1.646,70 ; R$ 16,47 ;1,24%
AJUMSI2;AJU;MSI2;SE;MS; R$ 625,56 ; R$ 735,00 ; R$ 866,72 ; R$ 1.107,03 ; R$ 1.528,49 ; R$ 2.264,20 ; R$ 22,64 ;1,24%
AJUMTI;AJU;MTI;SE;MT; R$ 541,69 ; R$ 636,46 ; R$ 750,52 ; R$ 958,61 ; R$ 1.323,56 ; R$ 1.960,64 ; R$ 19,60 ;1,24%
AJUMTI2;AJU;MTI2;SE;MT; R$ 744,82 ; R$ 875,14 ; R$ 1.031,96 ; R$ 1.318,08 ; R$ 1.819,90 ; R$ 2.695,88 ; R$ 26,96 ;1,24%
AJUNAT;AJU;NAT;SE;RN; R$ 133,07 ; R$ 156,35 ; R$ 184,37 ; R$ 235,49 ; R$ 325,15 ; R$ 481,64 ; R$ 4,82 ;0,72%
AJUPAI;AJU;PAI;SE;PA; R$ 422,32 ; R$ 496,20 ; R$ 585,12 ; R$ 747,35 ; R$ 1.031,88 ; R$ 1.528,56 ; R$ 15,28 ;0,88%
AJUPAI2;AJU;PAI2;SE;PA; R$ 580,67 ; R$ 682,28 ; R$ 804,54 ; R$ 1.027,61 ; R$ 1.418,84 ; R$ 2.101,76 ; R$ 21,02 ;0,88%
AJUPBI;AJU;PBI;SE;PB; R$ 179,89 ; R$ 211,37 ; R$ 249,25 ; R$ 318,35 ; R$ 439,55 ; R$ 651,14 ; R$ 6,51 ;0,83%
AJUPBI2;AJU;PBI2;SE;PB; R$ 204,39 ; R$ 240,15 ; R$ 283,18 ; R$ 361,71 ; R$ 499,42 ; R$ 739,79 ; R$ 7,40 ;0,83%
AJUPEI;AJU;PEI;SE;PE; R$ 187,44 ; R$ 220,24 ; R$ 259,70 ; R$ 331,71 ; R$ 458,01 ; R$ 678,44 ; R$ 6,78 ;0,83%
AJUPEI2;AJU;PEI2;SE;PE; R$ 195,87 ; R$ 230,14 ; R$ 271,39 ; R$ 346,64 ; R$ 478,61 ; R$ 708,97 ; R$ 7,09 ;0,83%
AJUPII;AJU;PII;SE;PI; R$ 186,83 ; R$ 219,51 ; R$ 258,85 ; R$ 330,62 ; R$ 456,49 ; R$ 676,22 ; R$ 6,77 ;0,83%
AJUPII2;AJU;PII2;SE;PI; R$ 229,95 ; R$ 270,17 ; R$ 318,59 ; R$ 406,92 ; R$ 561,85 ; R$ 832,27 ; R$ 8,33 ;0,83%
AJUPMW;AJU;PMW;SE;TO; R$ 184,93 ; R$ 217,29 ; R$ 256,24 ; R$ 327,27 ; R$ 451,88 ; R$ 669,38 ; R$ 6,69 ;0,72%
AJUPOA;AJU;POA;SE;RS; R$ 194,90 ; R$ 229,00 ; R$ 270,04 ; R$ 344,90 ; R$ 476,21 ; R$ 705,43 ; R$ 7,05 ;1,14%
AJUPPB;AJU;PPB;SE;SP; R$ 220,89 ; R$ 259,54 ; R$ 306,05 ; R$ 390,90 ; R$ 539,72 ; R$ 799,50 ; R$ 7,99 ;0,83%
AJUPPB2;AJU;PPB2;SE;SP; R$ 271,86 ; R$ 319,42 ; R$ 376,67 ; R$ 481,11 ; R$ 664,26 ; R$ 983,99 ; R$ 9,85 ;0,83%
AJUPRI;AJU;PRI;SE;PR; R$ 250,28 ; R$ 294,06 ; R$ 346,77 ; R$ 442,91 ; R$ 611,54 ; R$ 905,89 ; R$ 9,06 ;1,03%
