ROTA;ORIGEM;DESTINO;UF_ORIGEM;UF_DESTINO;10-Frete Peso;20-Frete Peso;30-Frete Peso;50-Frete Peso;75-Frete Peso;100-Frete Peso;999,999,999.9999-Frete Peso;999,999,999.9999-Frete Valor
GOISCI2;GOI;SCI2;GO;SC; R$ 259,28 ; R$ 304,64 ; R$ 359,23 ; R$ 458,84 ; R$ 633,53 ; R$ 938,46 ; R$ 9,38 ;0,83%
GOISEI;GOI;SEI;GO;SE; R$ 344,35 ; R$ 404,60 ; R$ 477,10 ; R$ 609,39 ; R$ 841,38 ; R$ 1.246,37 ; R$ 12,46 ;1,24%
GOISEI2;GOI;SEI2;GO;SE; R$ 423,81 ; R$ 497,96 ; R$ 587,20 ; R$ 750,01 ; R$ 1.035,54 ; R$ 1.533,98 ; R$ 15,34 ;1,24%
GOISJK;GOI;SJK;GO;SP; R$ 143,44 ; R$ 168,53 ; R$ 198,73 ; R$ 253,84 ; R$ 350,47 ; R$ 519,16 ; R$ 5,19 ;0,83%
GOISJK2;GOI;SJK2;GO;SP; R$ 218,03 ; R$ 256,17 ; R$ 302,08 ; R$ 385,83 ; R$ 532,72 ; R$ 789,13 ; R$ 7,89 ;0,83%
GOISJP;GOI;SJP;GO;SP; R$ 167,86 ; R$ 197,23 ; R$ 232,57 ; R$ 297,05 ; R$ 410,14 ; R$ 607,55 ; R$ 6,08 ;0,83%
GOISJP2;GOI;SJP2;GO;SP; R$ 218,03 ; R$ 256,17 ; R$ 302,08 ; R$ 385,83 ; R$ 532,72 ; R$ 789,13 ; R$ 7,89 ;0,83%
GOISLZ;GOI;SLZ;GO;MA; R$ 386,62 ; R$ 454,26 ; R$ 535,67 ; R$ 684,19 ; R$ 944,67 ; R$ 1.399,38 ; R$ 13,99 ;1,35%
GOISOD;GOI;SOD;GO;SP; R$ 143,44 ; R$ 168,53 ; R$ 198,73 ; R$ 253,84 ; R$ 350,47 ; R$ 519,16 ; R$ 5,19 ;0,83%
GOISOD2;GOI;SOD2;GO;SP; R$ 218,03 ; R$ 256,17 ; R$ 302,08 ; R$ 385,83 ; R$ 532,72 ; R$ 789,13 ; R$ 7,89 ;0,83%
GOISSA;GOI;SSA;GO;BA; R$ 252,27 ; R$ 296,41 ; R$ 349,53 ; R$ 446,43 ; R$ 616,40 ; R$ 913,09 ; R$ 9,14 ;1,09%
GOISSZ;GOI;SSZ;GO;SP; R$ 177,15 ; R$ 208,14 ; R$ 245,44 ; R$ 313,48 ; R$ 432,83 ; R$ 641,17 ; R$ 6,42 ;0,83%
GOISSZ2;GOI;SSZ2;GO;SP; R$ 218,03 ; R$ 256,17 ; R$ 302,08 ; R$ 385,83 ; R$ 532,72 ; R$ 789,13 ; R$ 7,89 ;0,83%
GOITHE;GOI;THE;GO;PI; R$ 340,56 ; R$ 400,15 ; R$ 471,85 ; R$ 602,69 ; R$ 832,13 ; R$ 1.232,67 ; R$ 12,33 ;1,24%
GOITOI;GOI;TOI;GO;TO; R$ 315,31 ; R$ 370,47 ; R$ 436,87 ; R$ 557,99 ; R$ 770,43 ; R$ 1.141,26 ; R$ 11,42 ;1,03%
GOITOI2;GOI;TOI2;GO;TO; R$ 433,55 ; R$ 509,41 ; R$ 600,69 ; R$ 767,24 ; R$ 1.059,35 ; R$ 1.569,23 ; R$ 15,70 ;1,03%
GOIUDI;GOI;UDI;GO;MG; R$ 159,69 ; R$ 187,63 ; R$ 221,25 ; R$ 282,59 ; R$ 390,18 ; R$ 577,98 ; R$ 5,77 ;0,83%
GOIVIX;GOI;VIX;GO;ES; R$ 164,90 ; R$ 193,75 ; R$ 228,48 ; R$ 291,83 ; R$ 402,93 ; R$ 596,87 ; R$ 5,97 ;0,83%
GOI2AJU;GOI2;AJU;GO;SE; R$ 326,01 ; R$ 383,05 ; R$ 451,69 ; R$ 576,92 ; R$ 796,58 ; R$ 1.179,98 ; R$ 11,80 ;1,24%
GOI2ALI;GOI2;ALI;GO;AL; R$ 443,99 ; R$ 521,68 ; R$ 615,16 ; R$ 785,72 ; R$ 1.084,86 ; R$ 1.607,03 ; R$ 16,07 ;1,24%
GOI2ALI2;GOI;ALI2;GO;AL; R$ 546,46 ; R$ 642,06 ; R$ 757,13 ; R$ 967,05 ; R$ 1.335,21 ; R$ 1.977,89 ; R$ 19,78 ;1,24%
GOI2API;GOI2;API;GO;AP; R$ 1.471,87 ; R$ 1.729,38 ; R$ 2.039,29 ; R$ 2.604,71 ; R$ 3.596,37 ; R$ 5.327,41 ; R$ 53,28 ;1,35%
GOI2API2;GOI;API2;GO;API2; R$ 2.023,82 ; R$ 2.377,90 ; R$ 2.804,03 ; R$ 3.581,49 ; R$ 4.945,01 ; R$ 7.325,19 ; R$ 73,25 ;1,35%
GOI2ARU;GOI2;ARU;GO;SP; R$ 224,45 ; R$ 263,72 ; R$ 310,98 ; R$ 397,20 ; R$ 548,42 ; R$ 812,38 ; R$ 8,12 ;0,83%
GOI2ARU2;GOI;ARU2;GO;SP; R$ 268,34 ; R$ 315,29 ; R$ 371,78 ; R$ 474,87 ; R$ 655,65 ; R$ 971,24 ; R$ 9,72 ;0,83%
GOI2BAI;GOI2;BAI;GO;BA; R$ 403,63 ; R$ 474,25 ; R$ 559,24 ; R$ 714,29 ; R$ 986,24 ; R$ 1.460,94 ; R$ 14,61 ;1,03%
GOI2BAI2;GOI;BAI2;GO;BA; R$ 496,78 ; R$ 583,69 ; R$ 688,30 ; R$ 879,13 ; R$ 1.213,83 ; R$ 1.798,08 ; R$ 17,98 ;1,09%
GOI2BAU;GOI2;BAU;GO;SP; R$ 184,48 ; R$ 216,75 ; R$ 255,61 ; R$ 326,47 ; R$ 450,76 ; R$ 667,73 ; R$ 6,68 ;0,83%
GOI2BAU2;GOI;BAU2;GO;SP; R$ 268,34 ; R$ 315,29 ; R$ 371,78 ; R$ 474,87 ; R$ 655,65 ; R$ 971,24 ; R$ 9,72 ;0,83%
GOI2BEL;GOI2;BEL;GO;PA; R$ 947,38 ; R$ 1.113,14 ; R$ 1.312,62 ; R$ 1.676,56 ; R$ 2.314,85 ; R$ 3.429,06 ; R$ 34,29 ;1,35%
GOI2BHZ;GOI2;BHZ;GO;MG; R$ 175,63 ; R$ 206,35 ; R$ 243,34 ; R$ 310,80 ; R$ 429,14 ; R$ 635,70 ; R$ 6,36 ;0,83%
GOI2BNU;GOI2;BNU;GO;SC; R$ 188,39 ; R$ 221,35 ; R$ 261,01 ; R$ 333,39 ; R$ 460,31 ; R$ 681,87 ; R$ 6,81 ;0,83%
GOI2BSB;GOI2;BSB;GO;DF; R$ 200,76 ; R$ 235,88 ; R$ 278,15 ; R$ 355,26 ; R$ 490,52 ; R$ 726,62 ; R$ 7,27 ;0,83%
GOI2CEI;GOI2;CEI;GO;CE; R$ 524,72 ; R$ 616,53 ; R$ 727,01 ; R$ 928,58 ; R$ 1.282,10 ; R$ 1.899,22 ; R$ 19,00 ;1,35%
GOI2CEI2;GOI;CEI2;GO;CE; R$ 645,81 ; R$ 758,80 ; R$ 894,78 ; R$ 1.142,87 ; R$ 1.577,98 ; R$ 2.337,51 ; R$ 23,38 ;1,35%
GOI2CGB;GOI2;CGB;GO;MT; R$ 606,41 ; R$ 712,50 ; R$ 840,19 ; R$ 1.073,14 ; R$ 1.481,70 ; R$ 2.194,88 ; R$ 21,95 ;0,88%
GOI2CGR;GOI2;CGR;GO;MS; R$ 502,75 ; R$ 590,70 ; R$ 696,57 ; R$ 889,70 ; R$ 1.228,42 ; R$ 1.819,69 ; R$ 18,20 ;0,83%
GOI2CPF;GOI2;CPF;GO;SP; R$ 218,03 ; R$ 256,17 ; R$ 302,08 ; R$ 385,83 ; R$ 532,72 ; R$ 789,13 ; R$ 7,89 ;0,83%
GOI2CPF2;GOI;CPF2;GO;SP; R$ 268,34 ; R$ 315,29 ; R$ 371,78 ; R$ 474,87 ; R$ 655,65 ; R$ 971,24 ; R$ 9,72 ;0,83%
GOI2CPQ;GOI2;CPQ;GO;SP; R$ 173,47 ; R$ 203,81 ; R$ 240,34 ; R$ 306,97 ; R$ 423,83 ; R$ 627,84 ; R$ 6,28 ;0,83%
GOI2CWB;GOI2;CWB;GO;PR; R$ 172,04 ; R$ 202,15 ; R$ 238,38 ; R$ 304,47 ; R$ 420,37 ; R$ 622,71 ; R$ 6,23 ;0,83%
GOI2DIV;GOI2;DIV;GO;MG; R$ 191,93 ; R$ 225,50 ; R$ 265,92 ; R$ 339,64 ; R$ 468,95 ; R$ 694,69 ; R$ 6,95 ;0,83%
GOI2ESI;GOI2;ESI;GO;ES; R$ 265,53 ; R$ 311,99 ; R$ 367,89 ; R$ 469,90 ; R$ 648,80 ; R$ 961,08 ; R$ 9,61 ;0,83%
GOI2ESI2;GOI;ESI2;GO;ES; R$ 326,81 ; R$ 383,98 ; R$ 452,79 ; R$ 578,33 ; R$ 798,52 ; R$ 1.182,87 ; R$ 11,83 ;0,83%
GOI2FES;GOI2;FES;GO;BA; R$ 260,69 ; R$ 306,31 ; R$ 361,19 ; R$ 461,35 ; R$ 636,99 ; R$ 943,59 ; R$ 9,44 ;1,09%
GOI2FLN;GOI2;FLN;GO;SC; R$ 192,94 ; R$ 226,70 ; R$ 267,32 ; R$ 341,44 ; R$ 471,44 ; R$ 698,35 ; R$ 6,98 ;0,83%
GOI2FOR;GOI2;FOR;GO;CE; R$ 391,36 ; R$ 459,83 ; R$ 542,24 ; R$ 692,57 ; R$ 956,25 ; R$ 1.416,52 ; R$ 14,17 ;1,35%
GOI2GOI;GOI2;GOI;GO;GO; R$ 164,71 ; R$ 193,53 ; R$ 228,21 ; R$ 291,48 ; R$ 402,46 ; R$ 596,17 ; R$ 5,97 ;0,62%
GOI2GOI2;GOI;GOI2;GO;GO; R$ 202,72 ; R$ 238,18 ; R$ 280,87 ; R$ 358,74 ; R$ 495,32 ; R$ 733,74 ; R$ 7,33 ;0,62%
GOI2GUDI;GOI;GUDI;GO;MG; R$ 249,51 ; R$ 293,16 ; R$ 345,70 ; R$ 441,54 ; R$ 609,65 ; R$ 903,09 ; R$ 9,03 ;0,83%
GOI2GUDI2;GOI;GUDI2;GO;MG; R$ 307,09 ; R$ 360,82 ; R$ 425,47 ; R$ 543,44 ; R$ 750,34 ; R$ 1.111,49 ; R$ 11,11 ;0,83%
GOI2GYN;GOI2;GYN;GO;GO; R$ 126,69 ; R$ 148,86 ; R$ 175,54 ; R$ 224,21 ; R$ 309,58 ; R$ 458,59 ; R$ 4,59 ;0,62%
GOI2ITJ;GOI2;ITJ;GO;SC; R$ 198,12 ; R$ 232,77 ; R$ 274,49 ; R$ 350,60 ; R$ 484,07 ; R$ 717,06 ; R$ 7,17 ;0,83%
GOI2JOI;GOI2;JOI;GO;SC; R$ 179,48 ; R$ 210,88 ; R$ 248,67 ; R$ 317,62 ; R$ 438,54 ; R$ 649,62 ; R$ 6,49 ;0,83%
GOI2JPA;GOI2;JPA;GO;PB; R$ 372,58 ; R$ 437,77 ; R$ 516,21 ; R$ 659,35 ; R$ 910,37 ; R$ 1.348,56 ; R$ 13,48 ;1,24%
GOI2LDB;GOI2;LDB;GO;PR; R$ 204,38 ; R$ 240,15 ; R$ 283,19 ; R$ 361,70 ; R$ 499,39 ; R$ 739,77 ; R$ 7,40 ;0,91%
GOI2MAI;GOI2;MAI;GO;MA; R$ 565,08 ; R$ 663,95 ; R$ 782,93 ; R$ 1.000,01 ; R$ 1.380,73 ; R$ 2.045,31 ; R$ 20,45 ;1,35%
GOI2MAI2;GOI;MAI2;GO;MA; R$ 695,49 ; R$ 817,17 ; R$ 963,61 ; R$ 1.230,79 ; R$ 1.699,35 ; R$ 2.517,31 ; R$ 25,17 ;1,35%
GOI2MCP;GOI2;MCP;GO;AP; R$ 919,92 ; R$ 1.080,87 ; R$ 1.274,56 ; R$ 1.627,95 ; R$ 2.247,73 ; R$ 3.329,63 ; R$ 33,30 ;1,35%
GOI2MCZ;GOI2;MCZ;GO;AL; R$ 341,54 ; R$ 401,28 ; R$ 473,19 ; R$ 604,40 ; R$ 834,50 ; R$ 1.236,19 ; R$ 12,36 ;1,24%
GOI2MGF;GOI2;MGF;GO;PR; R$ 198,58 ; R$ 233,32 ; R$ 275,14 ; R$ 351,43 ; R$ 485,21 ; R$ 718,76 ; R$ 7,19 ;0,91%
GOI2MGI;GOI2;MGI;GO;MG; R$ 218,14 ; R$ 256,31 ; R$ 302,24 ; R$ 386,04 ; R$ 533,01 ; R$ 789,56 ; R$ 7,90 ;0,83%
GOI2MGI2;GOI;MGI2;GO;MG; R$ 262,84 ; R$ 308,83 ; R$ 364,17 ; R$ 465,14 ; R$ 642,23 ; R$ 951,34 ; R$ 9,51 ;0,83%
GOI2MSI;GOI2;MSI;GO;MS; R$ 928,59 ; R$ 1.091,05 ; R$ 1.286,58 ; R$ 1.643,29 ; R$ 2.268,92 ; R$ 3.361,03 ; R$ 33,61 ;0,83%
GOI2MSI2;GOI;MSI2;GO;MS; R$ 1.276,81 ; R$ 1.500,19 ; R$ 1.769,04 ; R$ 2.259,54 ; R$ 3.119,78 ; R$ 4.621,41 ; R$ 46,21 ;0,83%
GOI2MTI;GOI2;MTI;GO;MT; R$ 970,26 ; R$ 1.140,01 ; R$ 1.344,30 ; R$ 1.717,02 ; R$ 2.370,73 ; R$ 3.511,82 ; R$ 35,12 ;0,93%
GOI2MTI2;GOI;MTI2;GO;MT; R$ 1.334,10 ; R$ 1.567,50 ; R$ 1.848,41 ; R$ 2.360,91 ; R$ 3.259,75 ; R$ 4.828,76 ; R$ 48,29 ;0,93%
GOI2NAT;GOI2;NAT;GO;RN; R$ 388,11 ; R$ 456,00 ; R$ 537,73 ; R$ 686,81 ; R$ 948,30 ; R$ 1.404,75 ; R$ 14,05 ;1,24%
GOI2PAI;GOI2;PAI;GO;PA; R$ 1.515,81 ; R$ 1.781,02 ; R$ 2.100,19 ; R$ 2.682,50 ; R$ 3.703,76 ; R$ 5.486,49 ; R$ 54,86 ;1,35%
GOI2PAI2;GOI;PAI2;GO;PA; R$ 2.084,25 ; R$ 2.448,90 ; R$ 2.887,75 ; R$ 3.688,43 ; R$ 5.092,66 ; R$ 7.543,91 ; R$ 75,44 ;1,35%
GOI2PBI;GOI2;PBI;GO;PB; R$ 484,36 ; R$ 569,10 ; R$ 671,08 ; R$ 857,16 ; R$ 1.183,48 ; R$ 1.753,13 ; R$ 17,53 ;1,24%
GOI2PBI2;GOI;PBI2;GO;PB; R$ 596,13 ; R$ 700,44 ; R$ 825,95 ; R$ 1.054,95 ; R$ 1.456,60 ; R$ 2.157,69 ; R$ 21,57 ;1,24%
GOI2PEI;GOI2;PEI;GO;PE; R$ 464,17 ; R$ 545,39 ; R$ 643,13 ; R$ 821,43 ; R$ 1.134,17 ; R$ 1.680,08 ; R$ 16,81 ;1,24%
GOI2PEI2;GOI;PEI2;GO;PE; R$ 571,29 ; R$ 671,25 ; R$ 791,54 ; R$ 1.011,01 ; R$ 1.395,90 ; R$ 2.067,79 ; R$ 20,68 ;1,24%
GOI2PII;GOI2;PII;GO;PI; R$ 544,90 ; R$ 640,24 ; R$ 754,98 ; R$ 964,29 ; R$ 1.331,42 ; R$ 1.972,27 ; R$ 19,72 ;1,35%
GOI2PII2;GOI;PII2;GO;PI; R$ 670,65 ; R$ 787,98 ; R$ 929,20 ; R$ 1.186,83 ; R$ 1.638,67 ; R$ 2.427,41 ; R$ 24,28 ;1,35%
GOI2PMW;GOI2;PMW;GO;TO; R$ 211,61 ; R$ 248,63 ; R$ 293,19 ; R$ 374,48 ; R$ 517,05 ; R$ 765,92 ; R$ 7,66 ;0,93%
GOI2POA;GOI2;POA;GO;RS; R$ 185,37 ; R$ 217,80 ; R$ 256,83 ; R$ 328,04 ; R$ 452,93 ; R$ 670,94 ; R$ 6,71 ;0,83%
GOI2PPB;GOI2;PPB;GO;SP; R$ 218,03 ; R$ 256,17 ; R$ 302,08 ; R$ 385,83 ; R$ 532,72 ; R$ 789,13 ; R$ 7,89 ;0,83%
GOI2PPB2;GOI;PPB2;GO;SP; R$ 268,34 ; R$ 315,29 ; R$ 371,78 ; R$ 474,87 ; R$ 655,65 ; R$ 971,24 ; R$ 9,72 ;0,83%
GOI2PRI;GOI2;PRI;GO;PR; R$ 237,72 ; R$ 279,31 ; R$ 329,36 ; R$ 420,69 ; R$ 580,86 ; R$ 860,43 ; R$ 8,61 ;0,83%
GOI2PRI2;GOI;PRI2;GO;PR; R$ 292,58 ; R$ 343,77 ; R$ 405,37 ; R$ 517,77 ; R$ 714,90 ; R$ 1.058,99 ; R$ 10,59 ;0,83%
GOI2RAO;GOI2;RAO;GO;SP; R$ 174,65 ; R$ 205,20 ; R$ 241,99 ; R$ 309,08 ; R$ 426,74 ; R$ 632,16 ; R$ 6,32 ;0,83%
GOI2RAO2;GOI;RAO2;GO;SP; R$ 268,34 ; R$ 315,29 ; R$ 371,78 ; R$ 474,87 ; R$ 655,65 ; R$ 971,24 ; R$ 9,72 ;0,83%
GOI2REC;GOI2;REC;GO;PE; R$ 357,05 ; R$ 419,53 ; R$ 494,70 ; R$ 631,88 ; R$ 872,44 ; R$ 1.292,37 ; R$ 12,93 ;1,24%
GOI2RIO;GOI2;RIO;GO;RJ; R$ 187,26 ; R$ 220,02 ; R$ 259,46 ; R$ 331,39 ; R$ 457,56 ; R$ 677,80 ; R$ 6,78 ;0,83%
GOI2RJI;GOI2;RJI;GO;RJ; R$ 277,55 ; R$ 326,13 ; R$ 384,56 ; R$ 491,19 ; R$ 678,19 ; R$ 1.004,61 ; R$ 10,05 ;0,83%
GOI2RJI2;GOI;RJI2;GO;RJ; R$ 337,04 ; R$ 396,00 ; R$ 466,97 ; R$ 596,44 ; R$ 823,51 ; R$ 1.219,90 ; R$ 12,20 ;0,83%
GOI2RNI;GOI2;RNI;GO;RN; R$ 504,54 ; R$ 592,81 ; R$ 699,04 ; R$ 892,87 ; R$ 1.232,80 ; R$ 1.826,18 ; R$ 18,26 ;1,35%
GOI2RNI2;GOI;RNI2;GO;RN; R$ 620,97 ; R$ 729,61 ; R$ 860,37 ; R$ 1.098,91 ; R$ 1.517,28 ; R$ 2.247,60 ; R$ 22,48 ;1,35%
GOI2RSI;GOI2;RSI;GO;RS; R$ 257,79 ; R$ 302,90 ; R$ 357,17 ; R$ 456,20 ; R$ 629,89 ; R$ 933,07 ; R$ 9,33 ;0,83%
GOI2RSI2;GOI;RSI2;GO;RS; R$ 332,26 ; R$ 390,38 ; R$ 460,35 ; R$ 587,98 ; R$ 811,83 ; R$ 1.202,60 ; R$ 12,02 ;0,83%
GOI2SAO;GOI2;SAO;GO;SP; R$ 153,69 ; R$ 180,57 ; R$ 212,94 ; R$ 271,97 ; R$ 375,52 ; R$ 556,27 ; R$ 5,56 ;0,72%
GOI2SCI;GOI2;SCI;GO;SC; R$ 237,14 ; R$ 278,63 ; R$ 328,57 ; R$ 419,67 ; R$ 579,44 ; R$ 858,35 ; R$ 8,58 ;0,83%
GOI2SCI2;GOI;SCI2;GO;SC; R$ 274,23 ; R$ 322,21 ; R$ 379,96 ; R$ 485,30 ; R$ 670,06 ; R$ 992,58 ; R$ 9,92 ;0,83%
GOI2SEI;GOI2;SEI;GO;SE; R$ 423,81 ; R$ 497,96 ; R$ 587,20 ; R$ 750,01 ; R$ 1.035,54 ; R$ 1.533,98 ; R$ 15,34 ;1,24%
GOI2SEI2;GOI;SEI2;GO;SE; R$ 521,61 ; R$ 612,88 ; R$ 722,71 ; R$ 923,09 ; R$ 1.274,53 ; R$ 1.887,99 ; R$ 18,88 ;1,24%
GOI2SJK;GOI2;SJK;GO;SP; R$ 176,54 ; R$ 207,42 ; R$ 244,60 ; R$ 312,41 ; R$ 431,35 ; R$ 638,98 ; R$ 6,39 ;0,83%
GOI2SJK2;GOI;SJK2;GO;SP; R$ 268,34 ; R$ 315,29 ; R$ 371,78 ; R$ 474,87 ; R$ 655,65 ; R$ 971,24 ; R$ 9,72 ;0,83%
GOI2SJP;GOI2;SJP;GO;SP; R$ 196,08 ; R$ 230,37 ; R$ 271,67 ; R$ 346,99 ; R$ 479,09 ; R$ 709,69 ; R$ 7,10 ;0,83%
GOI2SJP2;GOI;SJP2;GO;SP; R$ 268,34 ; R$ 315,29 ; R$ 371,78 ; R$ 474,87 ; R$ 655,65 ; R$ 971,24 ; R$ 9,72 ;0,83%
GOI2SLZ;GOI2;SLZ;GO;MA; R$ 434,67 ; R$ 510,74 ; R$ 602,26 ; R$ 769,24 ; R$ 1.062,10 ; R$ 1.573,32 ; R$ 15,74 ;1,35%
GOI2SOD;GOI2;SOD;GO;SP; R$ 176,54 ; R$ 207,42 ; R$ 244,60 ; R$ 312,41 ; R$ 431,35 ; R$ 638,98 ; R$ 6,39 ;0,83%
GOI2SOD2;GOI;SOD2;GO;SP; R$ 268,34 ; R$ 315,29 ; R$ 371,78 ; R$ 474,87 ; R$ 655,65 ; R$ 971,24 ; R$ 9,72 ;0,83%
GOI2SSA;GOI2;SSA;GO;BA; R$ 310,48 ; R$ 364,81 ; R$ 430,18 ; R$ 549,46 ; R$ 758,65 ; R$ 1.123,80 ; R$ 11,24 ;1,09%
GOI2SSZ;GOI2;SSZ;GO;SP; R$ 218,03 ; R$ 256,17 ; R$ 302,08 ; R$ 385,83 ; R$ 532,72 ; R$ 789,13 ; R$ 7,89 ;0,83%
GOI2SSZ2;GOI;SSZ2;GO;SP; R$ 268,34 ; R$ 315,29 ; R$ 371,78 ; R$ 474,87 ; R$ 655,65 ; R$ 971,24 ; R$ 9,72 ;0,83%
GOI2THE;GOI2;THE;GO;PI; R$ 419,16 ; R$ 492,49 ; R$ 580,75 ; R$ 741,77 ; R$ 1.024,16 ; R$ 1.517,13 ; R$ 15,17 ;1,24%
GOI2TOI;GOI2;TOI;GO;TO; R$ 433,55 ; R$ 509,41 ; R$ 600,69 ; R$ 767,24 ; R$ 1.059,35 ; R$ 1.569,23 ; R$ 15,70 ;1,03%
GOI2TOI2;GOI;TOI2;GO;TO; R$ 596,14 ; R$ 700,44 ; R$ 825,96 ; R$ 1.054,96 ; R$ 1.456,60 ; R$ 2.157,70 ; R$ 21,57 ;1,03%
GOI2UDI;GOI2;UDI;GO;MG; R$ 196,53 ; R$ 230,93 ; R$ 272,31 ; R$ 347,80 ; R$ 480,22 ; R$ 711,36 ; R$ 7,11 ;0,83%
GOI2VIX;GOI2;VIX;GO;ES; R$ 192,75 ; R$ 226,47 ; R$ 267,05 ; R$ 341,11 ; R$ 470,97 ; R$ 697,66 ; R$ 6,98 ;0,83%
GUDIAJU;GUDI;AJU;MG;SE; R$ 209,32 ; R$ 245,93 ; R$ 290,00 ; R$ 370,42 ; R$ 511,43 ; R$ 757,60 ; R$ 7,58 ;1,03%
GUDIALI;GUDI;ALI;MG;AL; R$ 285,07 ; R$ 334,94 ; R$ 394,96 ; R$ 504,47 ; R$ 696,53 ; R$ 1.031,78 ; R$ 10,32 ;1,24%
GUDIALI2;GUDI;ALI2;MG;AL; R$ 350,84 ; R$ 412,23 ; R$ 486,11 ; R$ 620,88 ; R$ 857,26 ; R$ 1.269,89 ; R$ 12,69 ;1,24%
GUDIAPI;GUDI;API;MG;AP; R$ 694,77 ; R$ 816,32 ; R$ 962,61 ; R$ 1.229,51 ; R$ 1.697,60 ; R$ 2.514,71 ; R$ 25,14 ;1,35%
GUDIAPI2;GUDI;API2;MG;API2; R$ 955,31 ; R$ 1.122,44 ; R$ 1.323,59 ; R$ 1.690,58 ; R$ 2.334,19 ; R$ 3.457,72 ; R$ 34,58 ;1,35%
GUDIARU;GUDI;ARU;MG;SP; R$ 164,20 ; R$ 192,92 ; R$ 227,50 ; R$ 290,57 ; R$ 401,19 ; R$ 594,31 ; R$ 5,94 ;0,83%
GUDIARU2;GUDI;ARU2;MG;SP; R$ 202,09 ; R$ 237,45 ; R$ 279,99 ; R$ 357,62 ; R$ 493,78 ; R$ 731,46 ; R$ 7,32 ;0,83%
GUDIBAI;GUDI;BAI;MG;BA; R$ 259,15 ; R$ 304,49 ; R$ 359,05 ; R$ 458,61 ; R$ 633,20 ; R$ 937,99 ; R$ 9,38 ;0,93%
GUDIBAI2;GUDI;BAI2;MG;BA; R$ 318,95 ; R$ 374,75 ; R$ 441,92 ; R$ 564,44 ; R$ 779,33 ; R$ 1.154,44 ; R$ 11,55 ;0,93%
GUDIBAU;GUDI;BAU;MG;SP; R$ 138,94 ; R$ 163,24 ; R$ 192,50 ; R$ 245,86 ; R$ 339,48 ; R$ 502,87 ; R$ 5,03 ;0,62%
GUDIBAU2;GUDI;BAU2;MG;SP; R$ 202,09 ; R$ 237,45 ; R$ 279,99 ; R$ 357,62 ; R$ 493,78 ; R$ 731,46 ; R$ 7,32 ;0,83%
GUDIBEL;GUDI;BEL;MG;PA; R$ 446,63 ; R$ 524,78 ; R$ 618,82 ; R$ 790,40 ; R$ 1.091,32 ; R$ 1.616,59 ; R$ 16,16 ;1,24%
GUDIBHZ;GUDI;BHZ;MG;MG; R$ 99,20 ; R$ 116,56 ; R$ 137,44 ; R$ 175,55 ; R$ 242,39 ; R$ 359,06 ; R$ 3,59 ;0,62%
GUDIBNU;GUDI;BNU;MG;SC; R$ 147,36 ; R$ 173,15 ; R$ 204,18 ; R$ 260,79 ; R$ 360,07 ; R$ 533,38 ; R$ 5,33 ;0,83%
GUDIBSB;GUDI;BSB;MG;DF; R$ 157,49 ; R$ 185,04 ; R$ 218,20 ; R$ 278,70 ; R$ 384,80 ; R$ 570,02 ; R$ 5,70 ;0,83%
GUDICEI;GUDI;CEI;MG;CE; R$ 336,90 ; R$ 395,83 ; R$ 466,76 ; R$ 596,19 ; R$ 823,16 ; R$ 1.219,38 ; R$ 12,19 ;1,24%
GUDICEI2;GUDI;CEI2;MG;CE; R$ 414,64 ; R$ 487,18 ; R$ 574,49 ; R$ 733,78 ; R$ 1.013,13 ; R$ 1.500,77 ; R$ 15,01 ;1,24%
GUDICGB;GUDI;CGB;MG;MT; R$ 411,03 ; R$ 482,94 ; R$ 569,49 ; R$ 727,38 ; R$ 1.004,31 ; R$ 1.487,71 ; R$ 14,87 ;0,83%
GUDICGR;GUDI;CGR;MG;MS; R$ 392,68 ; R$ 461,38 ; R$ 544,06 ; R$ 694,91 ; R$ 959,47 ; R$ 1.421,30 ; R$ 14,21 ;0,83%
GUDICPF;GUDI;CPF;MG;SP; R$ 164,20 ; R$ 192,92 ; R$ 227,50 ; R$ 290,57 ; R$ 401,19 ; R$ 594,31 ; R$ 5,94 ;0,62%
GUDICPF2;GUDI;CPF2;MG;SP; R$ 202,09 ; R$ 237,45 ; R$ 279,99 ; R$ 357,62 ; R$ 493,78 ; R$ 731,46 ; R$ 7,32 ;0,62%
GUDICPQ;GUDI;CPQ;MG;SP; R$ 117,20 ; R$ 137,69 ; R$ 162,37 ; R$ 207,39 ; R$ 286,34 ; R$ 424,17 ; R$ 4,24 ;0,62%
GUDICWB;GUDI;CWB;MG;PR; R$ 133,80 ; R$ 157,20 ; R$ 185,38 ; R$ 236,78 ; R$ 326,92 ; R$ 484,28 ; R$ 4,85 ;0,83%
GUDIDIV;GUDI;DIV;MG;MG; R$ 102,94 ; R$ 120,96 ; R$ 142,62 ; R$ 182,17 ; R$ 251,53 ; R$ 372,60 ; R$ 3,72 ;0,62%
GUDIESI;GUDI;ESI;MG;ES; R$ 175,09 ; R$ 205,71 ; R$ 242,58 ; R$ 309,84 ; R$ 427,79 ; R$ 633,71 ; R$ 6,34 ;0,83%
GUDIESI2;GUDI;ESI2;MG;ES; R$ 215,49 ; R$ 253,18 ; R$ 298,56 ; R$ 381,33 ; R$ 526,51 ; R$ 779,94 ; R$ 7,80 ;0,83%
