UF;CIDADE;BUSCA;REF;CLASSIFICACAO_CAP_IN;CAP_INT;REGIÇO;JAMEF;FILIAL_ATENDIMENTO
GO;ABADIA DE GOIAS;GOABADIA DE GOIAS;GOI1;Interior-1;I1;Centro Oeste;GYN;Goiania - GO
MG;ABADIA DOS DOURADOS;MGABADIA DOS DOURADOS;MGI2;Interior-2;I2;Sudeste;UDI;Uberlƒndia - MG
GO;ABADIANIA;GOABADIANIA;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
MG;ABAETE;MGABAETE;MGI2;Interior-2;I2;Sudeste;DIV;Divin¢polis - MG
PA;ABAETETUBA;PAABAETETUBA;PAI2;Interior-2;I2;Norte;BEL;Bel‚m - PA
CE;ABAIARA;CEABAIARA;CEI1;Interior-1;I1;Nordeste;FOR;Fortaleza - CE
BA;ABAIRA;BAABAIRA;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
BA;ABARE;BAABARE;BAI2;Interior-2;I2;Nordeste;SSA;Salvador - BA
PR;ABATIA;PRABATIA;PRI1;Interior-1;I1;Sul;CWB;Curitiba - PR
SC;ABDON BATISTA;SCABDON BATISTA;SCI2;Interior-2;I2;Sul;FLN;Florian¢polis - SC
PA;ABEL FIGUEIREDO;PAABEL FIGUEIREDO;PAI1;Interior-1;I1;Norte;BSB;Brasilia - DF
SC;ABELARDO LUZ;SCABELARDO LUZ;SCI2;Interior-2;I2;Sul;FLN;Florian¢polis - SC
MG;ABRE CAMPO;MGABRE CAMPO;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PE;ABREU E LIMA;PEABREU E LIMA;PEC;Capital;C;Nordeste;REC;Recife - PE
TO;ABREULANDIA;TOABREULANDIA;TOI1;Interior-1;I1;Norte;BSB;Brasilia - DF
MG;ACAIACA;MGACAIACA;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
MA;ACAILANDIA;MAACAILANDIA;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
BA;ACAJUTIBA;BAACAJUTIBA;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
PA;ACARA;PAACARA;PAI1;Interior-1;I1;Norte;BSB;Brasilia - DF
CE;ACARAPE;CEACARAPE;CEI1;Interior-1;I1;Nordeste;FOR;Fortaleza - CE
CE;ACARAU;CEACARAU;CEI2;Interior-2;I2;Nordeste;FOR;Fortaleza - CE
RN;ACARI;RNACARI;RNI2;Interior-2;I2;Nordeste;NAT;Natal - RN
PI;ACAUA;PIACAUA;PII2;Interior-2;I2;Nordeste;THE;Teresina - PI
RS;ACEGUA;RSACEGUA;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
CE;ACOPIARA;CEACOPIARA;CEI2;Interior-2;I2;Nordeste;FOR;Fortaleza - CE
MT;ACORIZAL;MTACORIZAL;MTI1;Interior-1;I1;Centro Oeste;CGB;Brasilia - DF
GO;ACREUNA;GOACREUNA;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
RN;ACU;RNACU;RNI2;Interior-2;I2;Nordeste;NAT;Natal - RN
MG;ACUCENA;MGACUCENA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
SP;ADAMANTINA;SPADAMANTINA;SPI2;Interior-2;I2;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
GO;ADELANDIA;GOADELANDIA;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
SP;ADOLFO;SPADOLFO;SPI1;Interior-1;I1;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
PR;ADRIANOPOLIS;PRADRIANOPOLIS;PRI2;Interior-2;I2;Sul;CWB;Curitiba - PR
BA;ADUSTINA;BAADUSTINA;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
PE;AFOGADOS DA INGAZEIRA;PEAFOGADOS DA INGAZEIRA;PEI2;Interior-2;I2;Nordeste;REC;Recife - PE
RN;AFONSO BEZERRA;RNAFONSO BEZERRA;RNI2;Interior-2;I2;Nordeste;NAT;Natal - RN
ES;AFONSO CLAUDIO;ESAFONSO CLAUDIO;ESI2;Interior-2;I2;Sudeste;VIX;Espirito Santo - ES
MA;AFONSO CUNHA;MAAFONSO CUNHA;MAI1;Interior-1;I1;Nordeste;SLZ;SÆo Luis - MA
PE;AFRANIO;PEAFRANIO;PEI2;Interior-2;I2;Nordeste;REC;Recife - PE
PA;AFUA;PAAFUA;PAI1;Interior-1;I1;Norte;BSB;Brasilia - DF
SP;AGENTE - 319;SPAGENTE - 319;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
SP;AGENTE SA FICTICIO(NSP);SPAGENTE SA FICTICIO(NSP);SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
PE;AGENTE YA FICTICIO(REC);PEAGENTE YA FICTICIO(REC);PEI1;Interior-1;I1;Nordeste;REC;Recife - PE
RS;Agente ZB;RSAgente ZB;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
PE;AGRESTINA;PEAGRESTINA;PEI1;Interior-1;I1;Nordeste;REC;Recife - PE
PI;AGRICOLANDIA;PIAGRICOLANDIA;PII2;Interior-2;I2;Nordeste;THE;Teresina - PI
SC;AGROLANDIA;SCAGROLANDIA;SCI2;Interior-2;I2;Sul;BNU;Blumenau - SC
SC;AGRONOMICA;SCAGRONOMICA;SCI1;Interior-1;I1;Sul;ITJ;Itajai - SC
PA;AGUA AZUL DO NORTE;PAAGUA AZUL DO NORTE;PAI2;Interior-2;I2;Norte;BEL;Bel‚m - PA
MG;AGUA BOA;MGAGUA BOA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
MT;AGUA BOA;MTAGUA BOA;MTI2;Interior-2;I2;Centro Oeste;CGB;Brasilia - DF
AL;AGUA BRANCA;ALAGUA BRANCA;ALI2;Interior-2;I2;Nordeste;MCZ;Maceio - AL
PB;AGUA BRANCA;PBAGUA BRANCA;PBI2;Interior-2;I2;Nordeste;JPA;JoÆo Pessoa - PB
PI;AGUA BRANCA;PIAGUA BRANCA;PII2;Interior-2;I2;Nordeste;THE;Teresina - PI
MS;AGUA CLARA;MSAGUA CLARA;MSI2;Interior-2;I2;Centro Oeste;CGR;Brasilia - DF
MG;AGUA COMPRIDA;MGAGUA COMPRIDA;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
SC;AGUA DOCE;SCAGUA DOCE;SCI1;Interior-1;I1;Sul;FLN;Florian¢polis - SC
MA;AGUA DOCE DO MARANHAO;MAAGUA DOCE DO MARANHAO;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
ES;AGUA DOCE DO NORTE;ESAGUA DOCE DO NORTE;ESI2;Interior-2;I2;Sudeste;VIX;Espirito Santo - ES
BA;AGUA FRIA;BAAGUA FRIA;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
GO;AGUA FRIA DE GOIAS;GOAGUA FRIA DE GOIAS;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
GO;AGUA LIMPA;GOAGUA LIMPA;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
RN;AGUA NOVA;RNAGUA NOVA;RNI1;Interior-1;I1;Nordeste;NAT;Natal - RN
PE;AGUA PRETA;PEAGUA PRETA;PEI2;Interior-2;I2;Nordeste;REC;Recife - PE
RS;AGUA SANTA;RSAGUA SANTA;RSI1;Interior-1;I1;Sul;POA;Porto Alegre - RS
SP;AGUAI;SPAGUAI;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
MG;AGUANIL;MGAGUANIL;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
PE;AGUAS BELAS;PEAGUAS BELAS;PEI2;Interior-2;I2;Nordeste;REC;Recife - PE
SP;AGUAS DA PRATA;SPAGUAS DA PRATA;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
SC;AGUAS DE CHAPECO;SCAGUAS DE CHAPECO;SCI1;Interior-1;I1;Sul;ITJ;Itajai - SC
SP;AGUAS DE LINDOIA;SPAGUAS DE LINDOIA;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
SP;AGUAS DE SANTA BARBARA;SPAGUAS DE SANTA BARBARA;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
SP;AGUAS DE SAO PEDRO;SPAGUAS DE SAO PEDRO;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
MG;AGUAS FORMOSAS;MGAGUAS FORMOSAS;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
SC;AGUAS FRIAS;SCAGUAS FRIAS;SCI1;Interior-1;I1;Sul;FLN;Florian¢polis - SC
GO;AGUAS LINDAS DE GOIAS;GOAGUAS LINDAS DE GOIAS;GOI1;Interior-1;I1;Centro Oeste;BSB;Brasilia - DF
SC;AGUAS MORNAS;SCAGUAS MORNAS;SCC;Capital;C;Sul;FLN;Florian¢polis - SC
MG;AGUAS VERMELHAS;MGAGUAS VERMELHAS;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
RS;AGUDO;RSAGUDO;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
SP;AGUDOS;SPAGUDOS;SPI1;Interior-1;I1;Sudeste;BAU;Bauru - SP
PR;AGUDOS DO SUL;PRAGUDOS DO SUL;PRI1;Interior-1;I1;Sul;CWB;Curitiba - PR
ES;AGUIA BRANCA;ESAGUIA BRANCA;ESI2;Interior-2;I2;Sudeste;VIX;Espirito Santo - ES
PB;AGUIAR;PBAGUIAR;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
TO;AGUIARNOPOLIS;TOAGUIARNOPOLIS;TOI1;Interior-1;I1;Norte;BSB;Brasilia - DF
MG;AIMORES;MGAIMORES;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
BA;AIQUARA;BAAIQUARA;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
CE;AIUABA;CEAIUABA;CEI2;Interior-2;I2;Nordeste;FOR;Fortaleza - CE
MG;AIURUOCA;MGAIURUOCA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
RS;AJURICABA;RSAJURICABA;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
MG;ALAGOA;MGALAGOA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PB;ALAGOA GRANDE;PBALAGOA GRANDE;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
PB;ALAGOA NOVA;PBALAGOA NOVA;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
PB;ALAGOINHA;PBALAGOINHA;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
PE;ALAGOINHA;PEALAGOINHA;PEI2;Interior-2;I2;Nordeste;REC;Recife - PE
PI;ALAGOINHA DO PIAUI;PIALAGOINHA DO PIAUI;PII2;Interior-2;I2;Nordeste;THE;Teresina - PI
BA;ALAGOINHAS;BAALAGOINHAS;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
SP;ALAMBARI;SPALAMBARI;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
MG;ALBERTINA;MGALBERTINA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
MA;ALCANTARA;MAALCANTARA;MAI1;Interior-1;I1;Nordeste;SLZ;SÆo Luis - MA
CE;ALCANTARAS;CEALCANTARAS;CEI1;Interior-1;I1;Nordeste;FOR;Fortaleza - CE
PB;ALCANTIL;PBALCANTIL;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
MS;ALCINOPOLIS;MSALCINOPOLIS;MSI1;Interior-1;I1;Centro Oeste;CGR;Brasilia - DF
BA;ALCOBACA;BAALCOBACA;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
MA;ALDEIAS ALTAS;MAALDEIAS ALTAS;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
RS;ALECRIM;RSALECRIM;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
ES;ALEGRE;ESALEGRE;ESI2;Interior-2;I2;Sudeste;VIX;Espirito Santo - ES
RS;ALEGRETE;RSALEGRETE;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
PI;ALEGRETE DO PIAUI;PIALEGRETE DO PIAUI;PII1;Interior-1;I1;Nordeste;THE;Teresina - PI
RS;ALEGRIA;RSALEGRIA;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
MG;ALEM PARAIBA;MGALEM PARAIBA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PA;ALENQUER;PAALENQUER;PAI2;Interior-2;I2;Norte;BSB;Brasilia - DF
RN;ALEXANDRIA;RNALEXANDRIA;RNI2;Interior-2;I2;Nordeste;NAT;Natal - RN
GO;ALEXANIA;GOALEXANIA;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
MG;ALFENAS;MGALFENAS;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
ES;ALFREDO CHAVES;ESALFREDO CHAVES;ESI1;Interior-1;I1;Sudeste;VIX;Espirito Santo - ES
SP;ALFREDO MARCONDES;SPALFREDO MARCONDES;SPI1;Interior-1;I1;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
MG;ALFREDO VASCONCELOS;MGALFREDO VASCONCELOS;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
SC;ALFREDO WAGNER;SCALFREDO WAGNER;SCI2;Interior-2;I2;Sul;FLN;Florian¢polis - SC
PB;ALGODAO DE JANDAIRA;PBALGODAO DE JANDAIRA;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
PB;ALHANDRA;PBALHANDRA;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
PE;ALIANCA;PEALIANCA;PEI1;Interior-1;I1;Nordeste;REC;Recife - PE
TO;ALIANCA DO TOCANTINS;TOALIANCA DO TOCANTINS;TOI1;Interior-1;I1;Norte;BSB;Brasilia - DF
BA;ALMADINA;BAALMADINA;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
TO;ALMAS;TOALMAS;TOI1;Interior-1;I1;Norte;BSB;Brasilia - DF
PA;ALMEIRIM;PAALMEIRIM;PAI2;Interior-2;I2;Norte;BEL;Bel‚m - PA
MG;ALMENARA;MGALMENARA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
RN;ALMINO AFONSO;RNALMINO AFONSO;RNI1;Interior-1;I1;Nordeste;NAT;Natal - RN
PR;ALMIRANTE TAMANDARE;PRALMIRANTE TAMANDARE;PRC;Capital;C;Sul;CWB;Curitiba - PR
RS;ALMIRANTE TAMANDARE DO SUL;RSALMIRANTE TAMANDARE DO SUL;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
GO;ALOANDIA;GOALOANDIA;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
MG;ALPERCATA;MGALPERCATA;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
RS;ALPESTRE;RSALPESTRE;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
MG;ALPINOPOLIS;MGALPINOPOLIS;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
MT;ALTA FLORESTA;MTALTA FLORESTA;MTI2;Interior-2;I2;Centro Oeste;CGB;Brasilia - DF
SP;ALTAIR;SPALTAIR;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
PA;ALTAMIRA;PAALTAMIRA;PAI2;Interior-2;I2;Norte;BEL;Bel‚m - PA
MA;ALTAMIRA DO MARANHAO;MAALTAMIRA DO MARANHAO;MAI1;Interior-1;I1;Nordeste;SLZ;SÆo Luis - MA
PR;ALTAMIRA DO PARANA;PRALTAMIRA DO PARANA;PRI2;Interior-2;I2;Sul;LDB;Londrina - PR
CE;ALTANEIRA;CEALTANEIRA;CEI1;Interior-1;I1;Nordeste;FOR;Fortaleza - CE
MG;ALTEROSA;MGALTEROSA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PE;ALTINHO;PEALTINHO;PEI1;Interior-1;I1;Nordeste;REC;Recife - PE
SP;ALTINOPOLIS;SPALTINOPOLIS;SPI1;Interior-1;I1;Sudeste;RAO;RibeirÆo Preto - SP
RS;ALTO ALEGRE;RSALTO ALEGRE;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
SP;ALTO ALEGRE;SPALTO ALEGRE;SPI1;Interior-1;I1;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
MA;ALTO ALEGRE DO MARANHAO;MAALTO ALEGRE DO MARANHAO;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
MA;ALTO ALEGRE DO PINDARE;MAALTO ALEGRE DO PINDARE;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
MT;ALTO ARAGUAIA;MTALTO ARAGUAIA;MTI2;Interior-2;I2;Centro Oeste;CGB;Brasilia - DF
SC;ALTO BELA VISTA;SCALTO BELA VISTA;SCI1;Interior-1;I1;Sul;ITJ;Itajai - SC
MT;ALTO BOA VISTA;MTALTO BOA VISTA;MTI2;Interior-2;I2;Centro Oeste;CGB;Brasilia - DF
MG;ALTO CAPARAO;MGALTO CAPARAO;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
RN;ALTO DO RODRIGUES;RNALTO DO RODRIGUES;RNI2;Interior-2;I2;Nordeste;NAT;Natal - RN
RS;ALTO FELIZ;RSALTO FELIZ;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
MT;ALTO GARCAS;MTALTO GARCAS;MTI2;Interior-2;I2;Centro Oeste;CGB;Brasilia - DF
GO;ALTO HORIZONTE;GOALTO HORIZONTE;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
MG;ALTO JEQUITIBA;MGALTO JEQUITIBA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PI;ALTO LONGA;PIALTO LONGA;PII1;Interior-1;I1;Nordeste;THE;Teresina - PI
MT;ALTO PARAGUAI;MTALTO PARAGUAI;MTI2;Interior-2;I2;Centro Oeste;CGB;Brasilia - DF
PR;ALTO PARAISO;PRALTO PARAISO;PRI1;Interior-1;I1;Sul;CWB;Curitiba - PR
GO;ALTO PARAISO DE GOIAS;GOALTO PARAISO DE GOIAS;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
PR;ALTO PARANA;PRALTO PARANA;PRI2;Interior-2;I2;Sul;MGF;Maringa - PR
MA;ALTO PARNAIBA;MAALTO PARNAIBA;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
PR;ALTO PIQUIRI;PRALTO PIQUIRI;PRI1;Interior-1;I1;Sul;CWB;Curitiba - PR
MG;ALTO RIO DOCE;MGALTO RIO DOCE;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
ES;ALTO RIO NOVO;ESALTO RIO NOVO;ESI2;Interior-2;I2;Sudeste;VIX;Espirito Santo - ES
CE;ALTO SANTO;CEALTO SANTO;CEI2;Interior-2;I2;Nordeste;FOR;Fortaleza - CE
MT;ALTO TAQUARI;MTALTO TAQUARI;MTI2;Interior-2;I2;Centro Oeste;CGB;Brasilia - DF
PR;ALTONIA;PRALTONIA;PRI2;Interior-2;I2;Sul;MGF;Maringa - PR
PI;ALTOS;PIALTOS;PII1;Interior-1;I1;Nordeste;THE;Teresina - PI
SP;ALUMINIO;SPALUMINIO;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
MG;ALVARENGA;MGALVARENGA;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
SP;ALVARES FLORENCE;SPALVARES FLORENCE;SPI1;Interior-1;I1;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
SP;ALVARES MACHADO;SPALVARES MACHADO;SPI1;Interior-1;I1;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
SP;ALVARO DE CARVALHO;SPALVARO DE CARVALHO;SPI1;Interior-1;I1;Sudeste;BAU;Bauru - SP
SP;ALVINLANDIA;SPALVINLANDIA;SPI1;Interior-1;I1;Sudeste;BAU;Bauru - SP
MG;ALVINOPOLIS;MGALVINOPOLIS;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
RS;ALVORADA;RSALVORADA;RSI1;Interior-1;I1;Sul;POA;Porto Alegre - RS
TO;ALVORADA;TOALVORADA;TOI1;Interior-1;I1;Norte;BSB;Brasilia - DF
MG;ALVORADA DE MINAS;MGALVORADA DE MINAS;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PI;ALVORADA DO GURGUEIA;PIALVORADA DO GURGUEIA;PII2;Interior-2;I2;Nordeste;THE;Teresina - PI
GO;ALVORADA DO NORTE;GOALVORADA DO NORTE;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
PR;ALVORADA DO SUL;PRALVORADA DO SUL;PRI2;Interior-2;I2;Sul;LDB;Londrina - PR
MS;AMAMBAI;MSAMAMBAI;MSI2;Interior-2;I2;Centro Oeste;CGR;Brasilia - DF
MA;AMAPA DO MARANHAO;MAAMAPA DO MARANHAO;MAI1;Interior-1;I1;Nordeste;SLZ;SÆo Luis - MA
PR;AMAPORA;PRAMAPORA;PRI1;Interior-1;I1;Sul;CWB;Curitiba - PR
PE;AMARAJI;PEAMARAJI;PEI2;Interior-2;I2;Nordeste;REC;Recife - PE
RS;AMARAL FERRADOR;RSAMARAL FERRADOR;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
GO;AMARALINA;GOAMARALINA;GOI1;Interior-1;I1;Centro Oeste;GYN;Goiania - GO
PI;AMARANTE;PIAMARANTE;PII2;Interior-2;I2;Nordeste;THE;Teresina - PI
MA;AMARANTE DO MARANHAO;MAAMARANTE DO MARANHAO;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
BA;AMARGOSA;BAAMARGOSA;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
BA;AMELIA RODRIGUES;BAAMELIA RODRIGUES;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
BA;AMERICA DOURADA;BAAMERICA DOURADA;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
SP;AMERICANA;SPAMERICANA;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
GO;AMERICANO DO BRASIL;GOAMERICANO DO BRASIL;GOI1;Interior-1;I1;Centro Oeste;GYN;Goiania - GO
SP;AMERICO BRASILIENSE;SPAMERICO BRASILIENSE;SPI1;Interior-1;I1;Sudeste;RAO;RibeirÆo Preto - SP
SP;AMERICO DE CAMPOS;SPAMERICO DE CAMPOS;SPI1;Interior-1;I1;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
RS;AMETISTA DO SUL;RSAMETISTA DO SUL;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
CE;AMONTADA;CEAMONTADA;CEI2;Interior-2;I2;Nordeste;FOR;Fortaleza - CE
GO;AMORINOPOLIS;GOAMORINOPOLIS;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
PB;AMPARO;PBAMPARO;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
SP;AMPARO;SPAMPARO;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
MG;AMPARO DA SERRA;MGAMPARO DA SERRA;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
SE;AMPARO DE SAO FRANCISCO;SEAMPARO DE SAO FRANCISCO;SEI1;Interior-1;I1;Nordeste;AJU;Aracaju - SE
PR;AMPERE;PRAMPERE;PRI2;Interior-2;I2;Sul;CWB;Curitiba - PR
AL;ANADIA;ALANADIA;ALI2;Interior-2;I2;Nordeste;MCZ;Maceio - AL
BA;ANAGE;BAANAGE;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
PR;ANAHY;PRANAHY;PRI1;Interior-1;I1;Sul;CWB;Curitiba - PR
PA;ANAJAS;PAANAJAS;PAI2;Interior-2;I2;Norte;BEL;Bel‚m - PA
MA;ANAJATUBA;MAANAJATUBA;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
SP;ANALANDIA;SPANALANDIA;SPI2;Interior-2;I2;Sudeste;RAO;RibeirÆo Preto - SP
TO;ANANAS;TOANANAS;TOI2;Interior-2;I2;Norte;BSB;Brasilia - DF
PA;ANANINDEUA;PAANANINDEUA;PAC;Capital;C;Norte;BEL;Bel‚m - PA
GO;ANAPOLIS;GOANAPOLIS;GOI1;Interior-1;I1;Centro Oeste;GYN;Goiania - GO
PA;ANAPU;PAANAPU;PAI2;Interior-2;I2;Norte;BEL;Bel‚m - PA
MA;ANAPURUS;MAANAPURUS;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
MS;ANASTACIO;MSANASTACIO;MSI2;Interior-2;I2;Centro Oeste;CGR;Brasilia - DF
MS;ANAURILANDIA;MSANAURILANDIA;MSI1;Interior-1;I1;Centro Oeste;CGR;Brasilia - DF
ES;ANCHIETA;ESANCHIETA;ESI2;Interior-2;I2;Sudeste;VIX;Espirito Santo - ES
SC;ANCHIETA;SCANCHIETA;SCI2;Interior-2;I2;Sul;FLN;Florian¢polis - SC
BA;ANDARAI;BAANDARAI;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
PR;ANDIRA;PRANDIRA;PRI2;Interior-2;I2;Sul;LDB;Londrina - PR
BA;ANDORINHA;BAANDORINHA;BAI2;Interior-2;I2;Nordeste;SSA;Salvador - BA
MG;ANDRADAS;MGANDRADAS;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
SP;ANDRADINA;SPANDRADINA;SPI2;Interior-2;I2;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
RS;ANDRE DA ROCHA;RSANDRE DA ROCHA;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
MG;ANDRELANDIA;MGANDRELANDIA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
SP;ANGATUBA;SPANGATUBA;SPI2;Interior-2;I2;Sudeste;CPQ;Campinas - SP
MG;ANGELANDIA;MGANGELANDIA;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
MS;ANGELICA;MSANGELICA;MSI2;Interior-2;I2;Centro Oeste;CGR;Brasilia - DF
PE;ANGELIM;PEANGELIM;PEI2;Interior-2;I2;Nordeste;REC;Recife - PE
SC;ANGELINA;SCANGELINA;SCC;Capital;C;Sul;FLN;Florian¢polis - SC
BA;ANGICAL;BAANGICAL;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
PI;ANGICAL DO PIAUI;PIANGICAL DO PIAUI;PII1;Interior-1;I1;Nordeste;THE;Teresina - PI
TO;ANGICO;TOANGICO;TOI1;Interior-1;I1;Norte;BSB;Brasilia - DF
RN;ANGICOS;RNANGICOS;RNI2;Interior-2;I2;Nordeste;NAT;Natal - RN
BA;ANGUERA;BAANGUERA;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
PR;ANGULO;PRANGULO;PRI1;Interior-1;I1;Sul;CWB;Curitiba - PR
GO;ANHANGUERA;GOANHANGUERA;GOI1;Interior-1;I1;Centro Oeste;GYN;Goiania - GO
SP;ANHEMBI;SPANHEMBI;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
