UF;CIDADE;BUSCA;REF;CLASSIFICACAO_CAP_IN;CAP_INT;REGIÇO;JAMEF;FILIAL_ATENDIMENTO
BA;DOM BASILIO;BADOM BASILIO;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
MG;DOM BOSCO;MGDOM BOSCO;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
MG;DOM CAVATI;MGDOM CAVATI;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PA;DOM ELISEU;PADOM ELISEU;PAI2;Interior-2;I2;Norte;BEL;Bel‚m - PA
PI;DOM EXPEDITO LOPES;PIDOM EXPEDITO LOPES;PII2;Interior-2;I2;Nordeste;THE;Teresina - PI
RS;DOM FELICIANO;RSDOM FELICIANO;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
PI;DOM INOCENCIO;PIDOM INOCENCIO;PII2;Interior-2;I2;Nordeste;THE;Teresina - PI
MG;DOM JOAQUIM;MGDOM JOAQUIM;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
BA;DOM MACEDO COSTA;BADOM MACEDO COSTA;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
RS;DOM PEDRITO;RSDOM PEDRITO;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
MA;DOM PEDRO;MADOM PEDRO;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
RS;DOM PEDRO DE ALCANTARA;RSDOM PEDRO DE ALCANTARA;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
MG;DOM SILVERIO;MGDOM SILVERIO;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
MG;DOM VICOSO;MGDOM VICOSO;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
ES;DOMINGOS MARTINS;ESDOMINGOS MARTINS;ESI1;Interior-1;I1;Sudeste;VIX;Espirito Santo - ES
PI;DOMINGOS MOURAO;PIDOMINGOS MOURAO;PII1;Interior-1;I1;Nordeste;THE;Teresina - PI
SC;DONA EMMA;SCDONA EMMA;SCI2;Interior-2;I2;Sul;BNU;Blumenau - SC
MG;DONA EUZEBIA;MGDONA EUZEBIA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
RS;DONA FRANCISCA;RSDONA FRANCISCA;RSI1;Interior-1;I1;Sul;POA;Porto Alegre - RS
PB;DONA INES;PBDONA INES;PBI2;Interior-2;I2;Nordeste;JPA;JoÆo Pessoa - PB
MG;DORES DE CAMPOS;MGDORES DE CAMPOS;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
MG;DORES DE GUANHAES;MGDORES DE GUANHAES;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
MG;DORES DO INDAIA;MGDORES DO INDAIA;MGI2;Interior-2;I2;Sudeste;DIV;Divin¢polis - MG
ES;DORES DO RIO PRETO;ESDORES DO RIO PRETO;ESI2;Interior-2;I2;Sudeste;VIX;Espirito Santo - ES
MG;DORES DO TURVO;MGDORES DO TURVO;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
MG;DORESOPOLIS;MGDORESOPOLIS;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
PE;DORMENTES;PEDORMENTES;PEI2;Interior-2;I2;Nordeste;REC;Recife - PE
MS;DOURADINA;MSDOURADINA;MSI1;Interior-1;I1;Centro Oeste;CGR;Brasilia - DF
PR;DOURADINA;PRDOURADINA;PRI2;Interior-2;I2;Sul;MGF;Maringa - PR
SP;DOURADO;SPDOURADO;SPI1;Interior-1;I1;Sudeste;BAU;Bauru - SP
MG;DOURADOQUARA;MGDOURADOQUARA;MGI2;Interior-2;I2;Sudeste;UDI;Uberlƒndia - MG
MS;DOURADOS;MSDOURADOS;MSI2;Interior-2;I2;Centro Oeste;CGR;Brasilia - DF
PR;DOUTOR CAMARGO;PRDOUTOR CAMARGO;PRI1;Interior-1;I1;Sul;MGF;Maringa - PR
